Sequence Outcome "Cumulative Wins"
323 win 107
324 lose 107
325 win 108
326 lose 108
327 win 109
328 lose 109
329 lose 109
330 win 110
331 win 111
332 lose 111
333 lose 111
334 lose 111
335 lose 111
336 win 112
337 lose 112
338 win 113
339 lose 113
340 lose 113
341 lose 113
342 lose 113
343 lose 113
344 lose 113
345 win 114
346 win 115
347 lose 115
348 lose 115
349 win 116
350 win 117
351 lose 117
352 win 118
353 win 119
354 lose 119
355 win 120
356 win 121
357 lose 121
358 lose 121
359 lose 121
360 lose 121
361 lose 121
362 lose 121
363 win 122
364 lose 122
365 lose 122
366 win 123
367 lose 123
368 lose 123
369 lose 123
370 lose 123
371 lose 123
372 lose 123
373 lose 123
374 win 124
375 win 125
376 win 126
377 lose 126
378 lose 126
379 lose 126
380 win 127
381 lose 127
382 lose 127
383 win 128
384 lose 128
385 win 129
386 lose 129
387 lose 129
388 lose 129
389 lose 129
390 lose 129
391 lose 129
392 lose 129
393 lose 129
394 win 130
395 lose 130
396 lose 130
397 lose 130
398 lose 130
399 lose 130
400 lose 130
401 lose 130
402 lose 130
403 win 131
404 lose 131
405 win 132
406 lose 132
407 win 133
408 win 134
409 lose 134
410 win 135
411 lose 135
412 lose 135
413 lose 135
414 win 136
415 lose 136
416 lose 136
417 lose 136
418 win 137
419 lose 137
420 lose 137
421 lose 137
422 lose 137
423 win 138
424 lose 138
425 lose 138
426 win 139
427 win 140
428 lose 140
429 win 141
430 win 142
431 lose 142
432 win 143
433 lose 143
434 lose 143
435 lose 143
436 lose 143
437 lose 143
438 win 144
439 win 145
440 win 146
441 lose 146
442 lose 146
443 lose 146
444 lose 146
445 lose 146
446 win 147
447 lose 147
448 lose 147
449 lose 147
450 lose 147
451 lose 147
452 win 148
453 win 149
454 lose 149
455 win 150
456 lose 150
457 lose 150
458 win 151
459 win 152
460 lose 152
461 lose 152
462 lose 152
463 lose 152
464 lose 152
465 win 153
466 win 154
467 win 155
468 win 156
469 lose 156
470 lose 156
471 win 157
472 lose 157
473 win 158
474 win 159
475 lose 159
476 win 160
477 lose 160
478 win 161
479 win 162
480 lose 162
481 lose 162
482 lose 162
483 lose 162
484 lose 162
485 lose 162
486 lose 162
487 lose 162
488 win 163
489 lose 163
490 win 164
491 lose 164
492 lose 164
493 lose 164
494 win 165
495 lose 165
496 lose 165
497 win 166
498 lose 166
499 lose 166
500 win 167
501 win 168
502 lose 168
503 lose 168
504 lose 168
505 lose 168
506 lose 168
507 lose 168
508 win 169
509 lose 169
510 lose 169
511 lose 169
512 win 170
513 lose 170
514 lose 170
515 win 171
516 lose 171
517 lose 171
518 lose 171
519 lose 171
520 lose 171
521 lose 171
522 win 172
523 lose 172
524 win 173
525 win 174
526 win 175
527 win 176
528 win 177
529 lose 177
530 lose 177
531 win 178
532 lose 178
533 lose 178
534 lose 178
535 win 179
536 win 180
537 lose 180
538 win 181
539 lose 181
540 win 182
541 lose 182
542 win 183
543 win 184
544 lose 184
545 lose 184
546 win 185
547 lose 185
548 lose 185
549 win 186
550 win 187
551 win 188
552 win 189
553 win 190
554 lose 190
555 win 191
556 win 192
557 win 193
558 lose 193
559 win 194
560 lose 194
561 lose 194
562 lose 194
563 win 195
564 lose 195
565 win 196
566 win 197
567 lose 197
568 win 198
569 lose 198
570 win 199
571 lose 199
572 lose 199
573 lose 199
574 lose 199
575 lose 199
576 lose 199
577 win 200
578 lose 200
579 lose 200
580 lose 200
581 lose 200
582 lose 200
583 lose 200
584 lose 200
585 lose 200
586 win 201
587 lose 201
588 lose 201
589 win 202
590 win 203
591 win 204
592 lose 204
593 lose 204
594 lose 204
595 lose 204
596 win 205
597 win 206
598 lose 206
599 lose 206
600 win 207
601 lose 207
602 lose 207
603 win 208
604 win 209
605 lose 209
606 lose 209
607 lose 209
608 win 210
609 lose 210
610 win 211
611 lose 211
612 lose 211
613 lose 211
614 lose 211
615 win 212
616 lose 212
617 win 213
618 lose 213
619 lose 213
620 win 214
621 win 215
622 win 216
623 lose 216
624 lose 216
625 lose 216
626 win 217
627 win 218
628 win 219
629 win 220
630 win 221
631 win 222
632 lose 222
633 lose 222
634 lose 222
635 win 223
636 win 224
637 lose 224
638 win 225
639 win 226
640 lose 226
641 lose 226
642 lose 226
643 lose 226
644 lose 226
645 win 227
646 win 228
647 lose 228
648 lose 228
649 lose 228
650 win 229
651 lose 229
652 lose 229
653 lose 229
654 win 230
655 win 231
656 lose 231
657 win 232
658 lose 232
659 lose 232
660 lose 232
661 lose 232
662 lose 232
663 win 233
664 lose 233
665 lose 233
666 win 234
667 win 235
668 win 236
669 lose 236
670 lose 236
671 lose 236
672 win 237
673 win 238
674 win 239
675 win 240
676 lose 240
677 lose 240
678 lose 240
679 lose 240
680 lose 240
681 win 241
682 win 242
683 lose 242
684 win 243
685 win 244
686 win 245
687 lose 245
688 lose 245
689 lose 245
690 lose 245
691 win 246
692 lose 246
693 lose 246
694 lose 246
695 lose 246
696 lose 246
697 lose 246
698 win 247
699 win 248
700 lose 248
701 win 249
702 lose 249
703 lose 249
704 lose 249
705 lose 249
706 lose 249
707 lose 249
708 lose 249
709 win 250
710 lose 250
711 win 251
712 lose 251
713 win 252
714 win 253
715 lose 253
716 lose 253
717 lose 253
718 lose 253
719 win 254
720 win 255
721 win 256
722 win 257
723 lose 257
724 lose 257
725 lose 257
726 lose 257
727 lose 257
728 win 258
729 lose 258
730 lose 258
731 lose 258
732 win 259
733 lose 259
734 lose 259
735 lose 259
736 lose 259
737 lose 259
738 lose 259
739 lose 259
740 lose 259
741 lose 259
742 win 260
743 win 261
744 win 262
745 lose 262
746 win 263
747 win 264
748 win 265
749 win 266
750 lose 266
751 lose 266
752 lose 266
753 lose 266
754 lose 266
755 win 267
756 lose 267
757 lose 267
758 lose 267
759 lose 267
760 lose 267
761 lose 267
762 lose 267
763 win 268
764 win 269
765 lose 269
766 win 270
767 lose 270
768 lose 270
769 lose 270
770 lose 270
771 win 271
772 win 272
773 lose 272
774 win 273
775 win 274
776 win 275
777 lose 275
778 lose 275
779 lose 275
780 lose 275
781 win 276
782 win 277
783 lose 277
784 lose 277
785 lose 277
786 win 278
787 lose 278
788 lose 278
789 lose 278
790 lose 278
791 lose 278
792 lose 278
793 win 279
794 lose 279
795 lose 279
796 win 280
797 lose 280
798 lose 280
799 lose 280
800 win 281
801 win 282
802 lose 282
803 lose 282
804 win 283
805 lose 283
806 lose 283
807 lose 283
808 lose 283
809 lose 283
810 win 284
811 win 285
812 lose 285
813 win 286
814 lose 286
815 lose 286
816 win 287
817 lose 287
818 lose 287
819 win 288
820 win 289
821 lose 289
822 lose 289
823 lose 289
824 lose 289
825 lose 289
826 win 290
827 win 291
828 lose 291
829 lose 291
830 win 292
831 win 293
832 win 294
833 lose 294
834 lose 294
835 lose 294
836 win 295
837 lose 295
838 lose 295
839 win 296
840 lose 296
841 win 297
842 win 298
843 lose 298
844 win 299
845 win 300
846 lose 300
847 lose 300
848 lose 300
849 lose 300
850 lose 300
851 win 301
852 win 302
853 lose 302
854 win 303
855 lose 303
856 lose 303
857 win 304
858 lose 304
859 lose 304
860 lose 304
861 lose 304
862 lose 304
863 lose 304
864 lose 304
865 win 305
866 lose 305
867 lose 305
868 win 306
869 win 307
870 win 308
871 lose 308
872 lose 308
873 win 309
874 win 310
875 lose 310
876 lose 310
877 lose 310
878 lose 310
879 lose 310
880 win 311
881 win 312
882 win 313
883 lose 313
884 win 314
885 lose 314
886 lose 314
887 win 315
888 win 316
889 win 317
890 win 318
891 win 319
892 win 320
893 lose 320
894 lose 320
895 win 321
896 lose 321
897 lose 321
898 lose 321
899 lose 321
900 win 322
901 win 323
902 lose 323
903 lose 323
904 lose 323
905 lose 323
906 lose 323
907 lose 323
908 win 324
909 win 325
910 win 326
911 win 327
912 lose 327
913 lose 327
914 lose 327
915 lose 327
916 win 328
917 lose 328
918 lose 328
919 lose 328
920 lose 328
921 lose 328
922 lose 328
923 lose 328
924 lose 328
925 win 329
926 lose 329
927 lose 329
928 lose 329
929 lose 329
930 win 330
931 lose 330
932 win 331
933 lose 331
934 lose 331
935 lose 331
936 win 332
937 lose 332
938 lose 332
939 lose 332
940 win 333
941 lose 333
942 win 334
943 lose 334
944 lose 334
945 win 335
946 win 336
947 lose 336
948 lose 336
949 win 337
950 lose 337
951 lose 337
952 lose 337
953 win 338
954 lose 338
955 win 339
956 lose 339
957 lose 339
958 lose 339
959 lose 339
960 lose 339
961 lose 339
962 lose 339
963 lose 339
964 win 340
965 lose 340
966 lose 340
967 lose 340
968 lose 340
969 win 341
970 lose 341
971 lose 341
972 lose 341
973 win 342
974 win 343
975 lose 343
976 lose 343
977 lose 343
978 win 344
979 lose 344
980 win 345
981 win 346
982 lose 346
983 lose 346
984 lose 346
985 lose 346
986 win 347
987 lose 347
988 lose 347
989 lose 347
990 win 348
991 win 349
992 lose 349
993 lose 349
994 lose 349
995 lose 349
996 win 350
997 lose 350
998 lose 350
999 lose 350
1000 lose 350
