Day Train "Aggregate Train" "Aggregate Proportion Train"
76 0 13 0.17105263157894737
77 0 13 0.16883116883116883
78 1 14 0.1794871794871795
79 0 14 0.17721518987341772
80 0 14 0.175
81 0 14 0.1728395061728395
82 0 14 0.17073170731707318
83 0 14 0.1686746987951807
84 0 14 0.16666666666666666
85 0 14 0.16470588235294117
86 0 14 0.16279069767441862
87 0 14 0.16091954022988506
88 0 14 0.1590909090909091
89 0 14 0.15730337078651685
90 1 15 0.16666666666666666
91 1 16 0.17582417582417584
92 0 16 0.17391304347826086
93 0 16 0.17204301075268819
94 0 16 0.1702127659574468
95 0 16 0.16842105263157894
96 1 17 0.17708333333333334
97 0 17 0.17525773195876287
98 0 17 0.17346938775510204
99 0 17 0.1717171717171717
100 0 17 0.17
101 0 17 0.16831683168316833
102 0 17 0.16666666666666666
103 0 17 0.1650485436893204
104 0 17 0.16346153846153846
105 1 18 0.17142857142857143
106 0 18 0.16981132075471697
107 0 18 0.16822429906542055
108 1 19 0.17592592592592593
109 1 20 0.1834862385321101
110 1 21 0.19090909090909092
111 1 22 0.1981981981981982
112 0 22 0.19642857142857142
113 1 23 0.20353982300884957
114 1 24 0.21052631578947367
115 0 24 0.20869565217391303
116 0 24 0.20689655172413793
117 1 25 0.21367521367521367
118 0 25 0.211864406779661
119 0 25 0.21008403361344538
120 0 25 0.20833333333333334
121 0 25 0.2066115702479339
122 0 25 0.20491803278688525
123 0 25 0.2032520325203252
124 0 25 0.20161290322580644
125 0 25 0.2
126 1 26 0.20634920634920634
127 0 26 0.2047244094488189
128 0 26 0.203125
129 0 26 0.20155038759689922
130 0 26 0.2
131 0 26 0.1984732824427481
132 0 26 0.19696969696969696
133 0 26 0.19548872180451127
134 0 26 0.19402985074626866
135 0 26 0.1925925925925926
136 0 26 0.19117647058823528
137 1 27 0.19708029197080293
138 0 27 0.1956521739130435
139 0 27 0.19424460431654678
140 0 27 0.19285714285714287
141 1 28 0.19858156028368795
142 0 28 0.19718309859154928
143 0 28 0.1958041958041958
144 0 28 0.19444444444444445
145 0 28 0.19310344827586207
146 0 28 0.1917808219178082
147 1 29 0.19727891156462585
148 1 30 0.20270270270270271
149 1 31 0.2080536912751678
150 0 31 0.20666666666666667
151 0 31 0.2052980132450331
152 0 31 0.20394736842105263
153 1 32 0.20915032679738563
154 0 32 0.2077922077922078
155 0 32 0.2064516129032258
156 0 32 0.20512820512820512
157 0 32 0.20382165605095542
158 1 33 0.2088607594936709
159 1 34 0.2138364779874214
160 0 34 0.2125
161 0 34 0.2111801242236025
162 0 34 0.20987654320987653
163 0 34 0.2085889570552147
164 0 34 0.2073170731707317
165 0 34 0.20606060606060606
166 0 34 0.20481927710843373
167 0 34 0.20359281437125748
168 0 34 0.20238095238095238
169 0 34 0.20118343195266272
170 1 35 0.20588235294117646
171 0 35 0.2046783625730994
172 0 35 0.20348837209302326
173 0 35 0.2023121387283237
174 0 35 0.20114942528735633
175 0 35 0.2
176 0 35 0.19886363636363635
177 0 35 0.1977401129943503
178 0 35 0.19662921348314608
179 0 35 0.19553072625698323
180 0 35 0.19444444444444445
181 0 35 0.19337016574585636
182 0 35 0.19230769230769232
183 1 36 0.19672131147540983
184 0 36 0.1956521739130435
185 1 37 0.2
186 0 37 0.1989247311827957
187 1 38 0.20320855614973263
188 0 38 0.20212765957446807
189 0 38 0.20105820105820105
190 0 38 0.2
191 0 38 0.19895287958115182
192 0 38 0.19791666666666666
193 0 38 0.19689119170984457
194 0 38 0.1958762886597938
195 0 38 0.19487179487179487
196 0 38 0.19387755102040816
197 1 39 0.19796954314720813
198 0 39 0.19696969696969696
199 0 39 0.19597989949748743
200 1 40 0.2
