Duration "Trip Route" Passholder Sample1 Sample2
1 "Round Trip" "Monthly Pass" "" ""
6 "One Way" "Monthly Pass" "" ""
7 "One Way" "Monthly Pass" "" ""
2 "One Way" Walk-up "" ""
8 "One Way" Walk-up "" ""
5 "One Way" "Monthly Pass" "" ""
17 "One Way" "Monthly Pass" "" ""
45 "Round Trip" Walk-up "" ""
16 "One Way" "Monthly Pass" "" ""
8 "One Way" Walk-up "" ""
11 "One Way" "Monthly Pass" "" ""
7 "One Way" "Monthly Pass" "" ""
15 "One Way" Walk-up "" ""
5 "One Way" "Monthly Pass" "" ""
11 "One Way" "Monthly Pass" "" ""
34 "One Way" "Monthly Pass" "" ""
11 "One Way" "Monthly Pass" "" ""
4 "One Way" "Monthly Pass" "" ""
5 "One Way" "Monthly Pass" "" ""
10 "One Way" Walk-up "" ""
17 "Round Trip" "Monthly Pass" "" ""
10 "One Way" "Monthly Pass" "" ""
8 "One Way" "Monthly Pass" "" ""
4 "One Way" "Monthly Pass" "" ""
4 "One Way" "Monthly Pass" "" ""
23 "One Way" "Monthly Pass" "" ""
4 "One Way" "Monthly Pass" "" ""
8 "One Way" "Monthly Pass" "" ""
15 "One Way" "Monthly Pass" "" ""
13 "One Way" "Monthly Pass" "" ""
5 "One Way" "Monthly Pass" "" ""
4 "One Way" "Monthly Pass" "" ""
4 "One Way" "Monthly Pass" "" ""
6 "One Way" "Monthly Pass" "" ""
26 "One Way" Walk-up "" ""
6 "One Way" "Monthly Pass" "" ""
11 "One Way" "Monthly Pass" "" ""
28 "One Way" "Monthly Pass" "" ""
6 "One Way" Walk-up "" ""
4 "One Way" "Monthly Pass" "" ""
11 "One Way" "Monthly Pass" "" ""
10 "One Way" "Monthly Pass" "" ""
5 "One Way" "Monthly Pass" "" ""
7 "One Way" "Annual Pass" "" ""
5 "One Way" "Monthly Pass" "" ""
7 "One Way" "Monthly Pass" "" ""
7 "One Way" "Monthly Pass" "" ""
12 "One Way" "Monthly Pass" "" ""
13 "One Way" "Monthly Pass" "" ""
12 "One Way" "Monthly Pass" "" ""
11 "One Way" "Monthly Pass" "" ""
17 "One Way" "Monthly Pass" "" ""
6 "One Way" Walk-up "" ""
9 "One Way" "Monthly Pass" "" ""
15 "One Way" "Monthly Pass" "" ""
4 "One Way" "Flex Pass" "" ""
25 "One Way" "Monthly Pass" "" ""
6 "One Way" Walk-up "" ""
4 "One Way" "Monthly Pass" "" ""
9 "One Way" "Monthly Pass" "" ""
6 "One Way" "Monthly Pass" "" ""
2 "One Way" "Monthly Pass" "" ""
12 "One Way" "Monthly Pass" "" ""
5 "One Way" "Monthly Pass" "" ""
7 "One Way" "Monthly Pass" "" ""
13 "One Way" "Monthly Pass" "" ""
12 "One Way" "Monthly Pass" "" ""
4 "One Way" "Monthly Pass" "" ""
4 "One Way" "Monthly Pass" "" ""
9 "One Way" Walk-up "" ""
16 "One Way" "Monthly Pass" "" ""
7 "One Way" "Monthly Pass" "" ""
9 "One Way" Walk-up "" ""
2 "One Way" Walk-up "" ""
11 "One Way" "Monthly Pass" "" ""
12 "One Way" "Monthly Pass" "" ""
21 "One Way" Walk-up "" ""
15 "One Way" "Monthly Pass" "" ""
7 "One Way" "Monthly Pass" "" ""
5 "Round Trip" Walk-up "" ""
30 "One Way" Walk-up "" ""
6 "One Way" "Monthly Pass" "" ""
10 "One Way" "Monthly Pass" "" ""
9 "One Way" "Monthly Pass" "" ""
7 "One Way" "Monthly Pass" "" ""
7 "One Way" "Monthly Pass" "" ""
5 "One Way" "Monthly Pass" "" ""
3 "One Way" "Flex Pass" "" ""
7 "One Way" Walk-up "" ""
18 "One Way" "Monthly Pass" "" ""
11 "One Way" "Monthly Pass" "" ""
28 "One Way" "Monthly Pass" "" ""
5 "One Way" "Monthly Pass" "" ""
6 "One Way" "Monthly Pass" "" ""
3 "One Way" "Monthly Pass" "" ""
4 "One Way" "Monthly Pass" "" ""
66 "Round Trip" Walk-up "" ""
8 "One Way" "Monthly Pass" "" ""
15 "One Way" Walk-up "" ""
4 "One Way" "Monthly Pass" "" ""
13 "One Way" "Monthly Pass" "" ""
778 "One Way" "Monthly Pass" "" ""
9 "One Way" "Monthly Pass" "" ""
56 "Round Trip" Walk-up "" ""
422 "Round Trip" Walk-up "" ""
14 "One Way" Walk-up "" ""
4 "One Way" "Monthly Pass" "" ""
17 "One Way" Walk-up "" ""
7 "One Way" "Monthly Pass" "" ""
7 "One Way" Walk-up "" ""
3 "One Way" Walk-up "" ""
5 "One Way" "Monthly Pass" "" ""
4 "One Way" "Monthly Pass" "" ""
17 "One Way" "Monthly Pass" "" ""
5 "One Way" "Monthly Pass" "" ""
35 "Round Trip" Walk-up "" ""
271 "One Way" Walk-up "" ""
3 "One Way" "Monthly Pass" "" ""
9 "One Way" "Monthly Pass" "" ""
4 "One Way" "Monthly Pass" "" ""
6 "One Way" Walk-up "" ""
9 "One Way" "Monthly Pass" "" ""
17 "One Way" "Monthly Pass" "" ""
21 "One Way" Walk-up "" ""
27 "One Way" Walk-up "" ""
5 "One Way" Walk-up "" ""
26 "One Way" Walk-up "" ""
7 "One Way" "Monthly Pass" "" ""
298 "One Way" Walk-up "" ""
8 "One Way" Walk-up "" ""
446 "One Way" "Monthly Pass" "" ""
4 "One Way" "Monthly Pass" "" ""
11 "One Way" "Monthly Pass" "" ""
18 "Round Trip" "Monthly Pass" "" ""
5 "One Way" "Monthly Pass" "" ""
26 "One Way" Walk-up "" ""
40 "One Way" "Monthly Pass" "" ""
406 "One Way" Walk-up "" ""
34 "One Way" "Flex Pass" "" ""
8 "One Way" Walk-up "" ""
10 "One Way" "One Day Pass" "" ""
28 "One Way" Walk-up "" ""
48 "One Way" Walk-up "" ""
4 "One Way" "Monthly Pass" "" ""
4 "One Way" "Monthly Pass" "" ""
8 "One Way" "Monthly Pass" "" ""
46 "One Way" Walk-up "" ""
46 "One Way" Walk-up "" ""
4 "One Way" "Monthly Pass" "" ""
40 "One Way" Walk-up "" ""
20 "One Way" Walk-up "" ""
38 "One Way" Walk-up "" ""
3 "One Way" "Monthly Pass" "" ""
4 "One Way" "Monthly Pass" "" ""
4 "One Way" "Monthly Pass" "" ""
3 "One Way" "Monthly Pass" "" ""
6 "One Way" "Monthly Pass" "" ""
11 "One Way" "One Day Pass" "" ""
1440 "One Way" Walk-up "" ""
10 "One Way" Walk-up "" ""
212 "One Way" Walk-up "" ""
9 "One Way" Walk-up "" ""
177 "One Way" Walk-up "" ""
39 "One Way" "Monthly Pass" "" ""
4 "One Way" "Monthly Pass" "" ""
9 "One Way" "Monthly Pass" "" ""
30 "One Way" "Monthly Pass" "" ""
8 "One Way" "Monthly Pass" "" ""
13 "One Way" Walk-up "" ""
25 "One Way" Walk-up "" ""
3 "One Way" "Monthly Pass" "" ""
7 "One Way" "Monthly Pass" "" ""
1440 "One Way" "Monthly Pass" "" ""
21 "One Way" "Monthly Pass" "" ""
324 "One Way" "One Day Pass" "" ""
4 "One Way" "Flex Pass" "" ""
5 "One Way" Walk-up "" ""
36 "One Way" Walk-up "" ""
8 "One Way" "Monthly Pass" "" ""
34 "One Way" Walk-up "" ""
39 "One Way" Walk-up "" ""
37 "One Way" Walk-up "" ""
8 "One Way" "Monthly Pass" "" ""
17 "One Way" "Monthly Pass" "" ""
10 "Round Trip" "Monthly Pass" "" ""
5 "One Way" "Monthly Pass" "" ""
3 "One Way" "Monthly Pass" "" ""
20 "One Way" "Monthly Pass" "" ""
6 "One Way" "Monthly Pass" "" ""
7 "One Way" "Monthly Pass" "" ""
19 "One Way" Walk-up "" ""
7 "One Way" "Monthly Pass" "" ""
16 "One Way" Walk-up "" ""
402 "One Way" "Monthly Pass" "" ""
14 "One Way" "Monthly Pass" "" ""
14 "One Way" "Monthly Pass" "" ""
41 "One Way" "Monthly Pass" "" ""
2 "One Way" "Monthly Pass" "" ""
7 "One Way" "Monthly Pass" "" ""
9 "One Way" "Monthly Pass" "" ""
6 "Round Trip" "Monthly Pass" "" ""
8 "One Way" "Monthly Pass" "" ""
27 "Round Trip" Walk-up "" ""
11 "One Way" "Monthly Pass" "" ""
8 "One Way" "Monthly Pass" "" ""
17 "One Way" Walk-up "" ""
32 "One Way" "Monthly Pass" "" ""
5 "One Way" "Monthly Pass" "" ""
7 "One Way" "Monthly Pass" "" ""
7 "One Way" "Monthly Pass" "" ""
8 "One Way" "Flex Pass" "" ""
4 "One Way" Walk-up "" ""
5 "One Way" "Monthly Pass" "" ""
4 "One Way" "Monthly Pass" "" ""
11 "One Way" "Flex Pass" "" ""
5 "One Way" "Monthly Pass" "" ""
11 "One Way" Walk-up "" ""
20 "One Way" Walk-up "" ""
14 "One Way" Walk-up "" ""
3 "One Way" "Monthly Pass" "" ""
5 "One Way" "Flex Pass" "" ""
13 "One Way" Walk-up "" ""
12 "One Way" Walk-up "" ""
6 "One Way" "Monthly Pass" "" ""
2 "One Way" "Monthly Pass" "" ""
42 "One Way" Walk-up "" ""
488 "One Way" Walk-up "" ""
41 "One Way" Walk-up "" ""
41 "Round Trip" Walk-up "" ""
251 "One Way" Walk-up "" ""
6 "One Way" "Monthly Pass" "" ""
5 "One Way" "Monthly Pass" "" ""
5 "One Way" Walk-up "" ""
9 "One Way" "Monthly Pass" "" ""
13 "One Way" Walk-up "" ""
48 "One Way" Walk-up "" ""
45 "One Way" "Monthly Pass" "" ""
46 "One Way" Walk-up "" ""
4 "One Way" "Monthly Pass" "" ""
37 "One Way" Walk-up "" ""
140 "Round Trip" Walk-up "" ""
11 "One Way" "Monthly Pass" "" ""
36 "One Way" Walk-up "" ""
20 "One Way" "Monthly Pass" "" ""
137 "Round Trip" Walk-up "" ""
5 "One Way" "Monthly Pass" "" ""
17 "One Way" Walk-up "" ""
46 "One Way" Walk-up "" ""
4 "One Way" "Monthly Pass" "" ""
7 "One Way" "Monthly Pass" "" ""
11 "One Way" "Monthly Pass" "" ""
47 "One Way" Walk-up "" ""
46 "One Way" Walk-up "" ""
8 "One Way" Walk-up "" ""
11 "One Way" "Monthly Pass" "" ""
10 "One Way" Walk-up "" ""
12 "One Way" Walk-up "" ""
5 "One Way" Walk-up "" ""
10 "One Way" "Monthly Pass" "" ""
7 "One Way" "Monthly Pass" "" ""
4 "One Way" "One Day Pass" "" ""
3 "One Way" "One Day Pass" "" ""
4 "Round Trip" "Monthly Pass" "" ""
4 "One Way" "Monthly Pass" "" ""
12 "One Way" "Monthly Pass" "" ""
7 "Round Trip" Walk-up "" ""
5 "One Way" "Monthly Pass" "" ""
7 "One Way" "Flex Pass" "" ""
9 "One Way" "Monthly Pass" "" ""
44 "One Way" Walk-up "" ""
5 "One Way" "Monthly Pass" "" ""
5 "One Way" "Monthly Pass" "" ""
1074 "One Way" Walk-up "" ""
4 "One Way" "Monthly Pass" "" ""
7 "One Way" Walk-up "" ""
5 "One Way" "Monthly Pass" "" ""
7 "One Way" "Monthly Pass" "" ""
7 "One Way" "Monthly Pass" "" ""
9 "One Way" "Monthly Pass" "" ""
9 "One Way" "Monthly Pass" "" ""
4 "One Way" "Monthly Pass" "" ""
23 "Round Trip" Walk-up "" ""
4 "One Way" "Monthly Pass" "" ""
4 "One Way" Walk-up "" ""
29 "One Way" Walk-up "" ""
27 "One Way" Walk-up "" ""
12 "One Way" "Monthly Pass" "" ""
7 "One Way" "Monthly Pass" "" ""
4 "One Way" "Monthly Pass" "" ""
6 "One Way" "Monthly Pass" "" ""
5 "One Way" "Monthly Pass" "" ""
46 "One Way" Walk-up "" ""
45 "One Way" Walk-up "" ""
4 "One Way" "Monthly Pass" "" ""
5 "One Way" "Flex Pass" "" ""
8 "One Way" "Monthly Pass" "" ""
12 "One Way" "Monthly Pass" "" ""
5 "One Way" "Annual Pass" "" ""
6 "One Way" "Monthly Pass" "" ""
3 "One Way" "Monthly Pass" "" ""
53 "Round Trip" Walk-up "" ""
6 "One Way" Walk-up "" ""
52 "Round Trip" Walk-up "" ""
8 "One Way" Walk-up "" ""
8 "One Way" Walk-up "" ""
4 "One Way" "Monthly Pass" "" ""
5 "One Way" Walk-up "" ""
7 "One Way" "Monthly Pass" "" ""
40 "Round Trip" Walk-up "" ""
5 "One Way" Walk-up "" ""
5 "One Way" "Monthly Pass" "" ""
9 "One Way" "Monthly Pass" "" ""
6 "One Way" "Annual Pass" "" ""
4 "One Way" "Monthly Pass" "" ""
4 "One Way" Walk-up "" ""
7 "One Way" "Monthly Pass" "" ""
233 "One Way" Walk-up "" ""
7 "Round Trip" "Monthly Pass" "" ""
4 "One Way" "Monthly Pass" "" ""
10 "One Way" "Monthly Pass" "" ""
39 "One Way" Walk-up "" ""
139 "Round Trip" "Monthly Pass" "" ""
38 "One Way" Walk-up "" ""
138 "Round Trip" "Monthly Pass" "" ""
20 "One Way" "One Day Pass" "" ""
19 "One Way" "One Day Pass" "" ""
37 "One Way" Walk-up "" ""
38 "One Way" Walk-up "" ""
3 "One Way" "Monthly Pass" "" ""
18 "One Way" "Monthly Pass" "" ""
17 "One Way" Walk-up "" ""
33 "One Way" Walk-up "" ""
32 "One Way" Walk-up "" ""
32 "One Way" Walk-up "" ""
31 "One Way" Walk-up "" ""
12 "One Way" "Monthly Pass" "" ""
65 "Round Trip" Walk-up "" ""
15 "Round Trip" Walk-up "" ""
64 "Round Trip" Walk-up "" ""
28 "One Way" Walk-up "" ""
63 "Round Trip" Walk-up "" ""
59 "Round Trip" Walk-up "" ""
1 "Round Trip" "Monthly Pass" "" ""
6 "One Way" "Monthly Pass" "" ""
21 "One Way" Walk-up "" ""
6 "One Way" "Monthly Pass" "" ""
186 "One Way" "Monthly Pass" "" ""
7 "One Way" "Monthly Pass" "" ""
5 "One Way" "Monthly Pass" "" ""
37 "One Way" Walk-up "" ""
26 "Round Trip" Walk-up "" ""
44 "One Way" Walk-up "" ""
17 "One Way" "Flex Pass" "" ""
230 "Round Trip" Walk-up "" ""
41 "Round Trip" Walk-up "" ""
6 "One Way" "Monthly Pass" "" ""
5 "One Way" "Monthly Pass" "" ""
6 "One Way" "Monthly Pass" "" ""
4 "One Way" Walk-up "" ""
9 "One Way" Walk-up "" ""
8 "One Way" "Monthly Pass" "" ""
35 "Round Trip" Walk-up "" ""
7 "One Way" "Monthly Pass" "" ""
13 "One Way" "Monthly Pass" "" ""
10 "One Way" "Monthly Pass" "" ""
8 "One Way" Walk-up "" ""
26 "One Way" Walk-up "" ""
25 "One Way" Walk-up "" ""
4 "One Way" "Monthly Pass" "" ""
30 "One Way" "Monthly Pass" "" ""
40 "One Way" Walk-up "" ""
336 "Round Trip" "One Day Pass" "" ""
54 "Round Trip" Walk-up "" ""
53 "Round Trip" Walk-up "" ""
7 "One Way" "Monthly Pass" "" ""
16 "One Way" "Monthly Pass" "" ""
3 "One Way" Walk-up "" ""
10 "Round Trip" "Monthly Pass" "" ""
11 "One Way" Walk-up "" ""
12 "Round Trip" Walk-up "" ""
12 "One Way" "Monthly Pass" "" ""
9 "One Way" "Monthly Pass" "" ""
8 "One Way" "Monthly Pass" "" ""
18 "Round Trip" "Monthly Pass" "" ""
8 "One Way" "Monthly Pass" "" ""
10 "One Way" Walk-up "" ""
7 "One Way" "Monthly Pass" "" ""
10 "One Way" "Monthly Pass" "" ""
6 "One Way" "Monthly Pass" "" ""
26 "Round Trip" "Monthly Pass" "" ""
14 "One Way" "Monthly Pass" "" ""
23 "One Way" "Monthly Pass" "" ""
26 "One Way" Walk-up "" ""
22 "One Way" "Monthly Pass" "" ""
34 "Round Trip" Walk-up "" ""
25 "One Way" Walk-up "" ""
33 "Round Trip" Walk-up "" ""
8 "One Way" "Monthly Pass" "" ""
11 "One Way" "Monthly Pass" "" ""
19 "One Way" Walk-up "" ""
10 "One Way" "Monthly Pass" "" ""
10 "One Way" "Monthly Pass" "" ""
25 "One Way" "Monthly Pass" "" ""
6 "One Way" "Monthly Pass" "" ""
5 "One Way" "Monthly Pass" "" ""
7 "One Way" "Monthly Pass" "" ""
5 "One Way" "Monthly Pass" "" ""
156 "Round Trip" Walk-up "" ""
8 "One Way" "Monthly Pass" "" ""
38 "One Way" Walk-up "" ""
5 "One Way" "Monthly Pass" "" ""
26 "One Way" Walk-up "" ""
18 "Round Trip" Walk-up "" ""
24 "One Way" Walk-up "" ""
65 "One Way" Walk-up "" ""
8 "One Way" "Monthly Pass" "" ""
64 "One Way" Walk-up "" ""
5 "Round Trip" "Monthly Pass" "" ""
7 "One Way" "Monthly Pass" "" ""
15 "Round Trip" "Monthly Pass" "" ""
8 "One Way" "Monthly Pass" "" ""
10 "Round Trip" "Monthly Pass" "" ""
13 "One Way" Walk-up "" ""
8 "One Way" "Monthly Pass" "" ""
29 "One Way" "Monthly Pass" "" ""
29 "One Way" "Monthly Pass" "" ""
45 "One Way" Walk-up "" ""
31 "One Way" Walk-up "" ""
4 "One Way" "Monthly Pass" "" ""
5 "One Way" "Monthly Pass" "" ""
6 "One Way" "Monthly Pass" "" ""
11 "One Way" "Monthly Pass" "" ""
10 "One Way" "Monthly Pass" "" ""
4 "One Way" "Monthly Pass" "" ""
6 "One Way" "Monthly Pass" "" ""
4 "One Way" "Monthly Pass" "" ""
4 "One Way" "Monthly Pass" "" ""
8 "One Way" "Monthly Pass" "" ""
11 "One Way" "Monthly Pass" "" ""
8 "One Way" "Monthly Pass" "" ""
4 "One Way" "Monthly Pass" "" ""
1 "One Way" "Monthly Pass" "" ""
39 "One Way" Walk-up "" ""
18 "Round Trip" Walk-up "" ""
37 "One Way" Walk-up "" ""
9 "One Way" "Monthly Pass" "" ""
16 "Round Trip" Walk-up "" ""
35 "One Way" Walk-up "" ""
24 "Round Trip" "Monthly Pass" "" ""
12 "One Way" "Monthly Pass" "" ""
10 "One Way" "Monthly Pass" "" ""
12 "One Way" "Monthly Pass" "" ""
25 "One Way" "Monthly Pass" "" ""
32 "One Way" Walk-up "" ""
5 "One Way" "Monthly Pass" "" ""
11 "One Way" "Monthly Pass" "" ""
30 "One Way" Walk-up "" ""
6 "One Way" Walk-up "" ""
9 "Round Trip" Walk-up "" ""
25 "One Way" "Monthly Pass" "" ""
2 "One Way" "Monthly Pass" "" ""
23 "One Way" Walk-up "" ""
28 "One Way" Walk-up "" ""
8 "One Way" "Monthly Pass" "" ""
33 "Round Trip" Walk-up "" ""
4 "One Way" "Monthly Pass" "" ""
5 "One Way" "Monthly Pass" "" ""
7 "One Way" "Monthly Pass" "" ""
7 "One Way" "Monthly Pass" "" ""
6 "One Way" "Monthly Pass" "" ""
13 "One Way" "Monthly Pass" "" ""
12 "One Way" Walk-up "" ""
41 "One Way" Walk-up "" ""
7 "One Way" "Monthly Pass" "" ""
7 "One Way" "Monthly Pass" "" ""
13 "One Way" "Monthly Pass" "" ""
5 "One Way" "Monthly Pass" "" ""
4 "One Way" "Monthly Pass" "" ""
4 "One Way" "Monthly Pass" "" ""
5 "One Way" "Monthly Pass" "" ""
9 "One Way" "Monthly Pass" "" ""
22 "Round Trip" "Monthly Pass" "" ""
5 "One Way" "Monthly Pass" "" ""
7 "One Way" "Monthly Pass" "" ""
11 "One Way" "Monthly Pass" "" ""
18 "One Way" "Monthly Pass" "" ""
6 "One Way" "Monthly Pass" "" ""
6 "One Way" "Monthly Pass" "" ""
33 "One Way" "Monthly Pass" "" ""
32 "Round Trip" Walk-up "" ""
11 "One Way" "Monthly Pass" "" ""
29 "One Way" Walk-up "" ""
27 "One Way" Walk-up "" ""
25 "One Way" Walk-up "" ""
113 "Round Trip" Walk-up "" ""
10 "One Way" "Monthly Pass" "" ""
116 "One Way" Walk-up "" ""
29 "One Way" Walk-up "" ""
51 "Round Trip" Walk-up "" ""
111 "Round Trip" Walk-up "" ""
4 "One Way" "Monthly Pass" "" ""
11 "One Way" "Monthly Pass" "" ""
11 "One Way" "Monthly Pass" "" ""
28 "One Way" Walk-up "" ""
110 "Round Trip" Walk-up "" ""
7 "One Way" "Monthly Pass" "" ""
27 "One Way" Walk-up "" ""
27 "One Way" Walk-up "" ""
52 "Round Trip" Walk-up "" ""
51 "Round Trip" Walk-up "" ""
14 "One Way" "Monthly Pass" "" ""
3 "One Way" "Monthly Pass" "" ""
7 "One Way" "Monthly Pass" "" ""
12 "One Way" Walk-up "" ""
31 "One Way" "Monthly Pass" "" ""
8 "One Way" "Monthly Pass" "" ""
6 "One Way" "Monthly Pass" "" ""
12 "One Way" "Monthly Pass" "" ""
18 "One Way" "Monthly Pass" "" ""
15 "One Way" "Monthly Pass" "" ""
28 "One Way" "Monthly Pass" "" ""
57 "One Way" Walk-up "" ""
105 "One Way" Walk-up "" ""
9 "One Way" "Monthly Pass" "" ""
7 "One Way" "Monthly Pass" "" ""
11 "One Way" Walk-up "" ""
56 "One Way" Walk-up "" ""
4 "One Way" "Monthly Pass" "" ""
11 "One Way" Walk-up "" ""
15 "One Way" Walk-up "" ""
15 "One Way" "Monthly Pass" "" ""
8 "One Way" "Monthly Pass" "" ""
28 "One Way" Walk-up "" ""
1440 "One Way" Walk-up "" ""
12 "One Way" Walk-up "" ""
10 "One Way" "Monthly Pass" "" ""
15 "One Way" Walk-up "" ""
26 "One Way" Walk-up "" ""
3 "One Way" "Monthly Pass" "" ""
9 "One Way" "Monthly Pass" "" ""
5 "One Way" "Monthly Pass" "" ""
9 "One Way" Walk-up "" ""
8 "One Way" "Monthly Pass" "" ""
12 "One Way" "Monthly Pass" "" ""
9 "One Way" "Monthly Pass" "" ""
9 "One Way" "Monthly Pass" "" ""
23 "One Way" "Monthly Pass" "" ""
23 "One Way" "Monthly Pass" "" ""
23 "One Way" Walk-up "" ""
7 "One Way" Walk-up "" ""
4 "One Way" "Monthly Pass" "" ""
5 "One Way" "Monthly Pass" "" ""
17 "One Way" "Monthly Pass" "" ""
13 "One Way" "Monthly Pass" "" ""
22 "One Way" "Monthly Pass" "" ""
3 "One Way" "Flex Pass" "" ""
19 "One Way" "Monthly Pass" "" ""
11 "One Way" "Monthly Pass" "" ""
16 "One Way" "Flex Pass" "" ""
6 "One Way" "Monthly Pass" "" ""
5 "One Way" Walk-up "" ""
27 "Round Trip" Walk-up "" ""
12 "One Way" "Monthly Pass" "" ""
9 "One Way" Walk-up "" ""
11 "One Way" "Monthly Pass" "" ""
41 "One Way" "Monthly Pass" "" ""
10 "One Way" Walk-up "" ""
37 "One Way" Walk-up "" ""
18 "One Way" "Monthly Pass" "" ""
22 "One Way" Walk-up "" ""
27 "Round Trip" Walk-up "" ""
36 "One Way" Walk-up "" ""
10 "One Way" "Monthly Pass" "" ""
10 "One Way" "Monthly Pass" "" ""
10 "One Way" "Monthly Pass" "" ""
14 "One Way" "Monthly Pass" "" ""
15 "One Way" Walk-up "" ""
15 "One Way" "Monthly Pass" "" ""
19 "One Way" "Monthly Pass" "" ""
3 "One Way" "Monthly Pass" "" ""
19 "One Way" "Monthly Pass" "" ""
11 "One Way" "Monthly Pass" "" ""
17 "One Way" Walk-up "" ""
11 "One Way" Walk-up "" ""
16 "One Way" Walk-up "" ""
20 "Round Trip" "Monthly Pass" "" ""
6 "One Way" "Monthly Pass" "" ""
5 "One Way" "Monthly Pass" "" ""
7 "One Way" "Monthly Pass" "" ""
6 "One Way" "Monthly Pass" "" ""
20 "One Way" "Monthly Pass" "" ""
31 "One Way" Walk-up "" ""
9 "One Way" Walk-up "" ""
9 "One Way" "Monthly Pass" "" ""
30 "One Way" Walk-up "" ""
36 "One Way" "Monthly Pass" "" ""
9 "One Way" "Monthly Pass" "" ""
12 "One Way" Walk-up "" ""
20 "One Way" Walk-up "" ""
11 "One Way" Walk-up "" ""
21 "One Way" Walk-up "" ""
8 "One Way" "Monthly Pass" "" ""
10 "One Way" "Monthly Pass" "" ""
7 "One Way" "Monthly Pass" "" ""
6 "One Way" "Monthly Pass" "" ""
10 "One Way" "Monthly Pass" "" ""
26 "Round Trip" Walk-up "" ""
33 "One Way" "Monthly Pass" "" ""
17 "One Way" "Monthly Pass" "" ""
11 "Round Trip" "Monthly Pass" "" ""
3 "One Way" "Flex Pass" "" ""
24 "One Way" Walk-up "" ""
6 "One Way" "Monthly Pass" "" ""
6 "One Way" "Monthly Pass" "" ""
9 "One Way" "Monthly Pass" "" ""
26 "One Way" "Monthly Pass" "" ""
10 "One Way" "Monthly Pass" "" ""
16 "One Way" "Monthly Pass" "" ""
25 "One Way" "Monthly Pass" "" ""
6 "One Way" "Monthly Pass" "" ""
6 "One Way" Walk-up "" ""
6 "One Way" "Monthly Pass" "" ""
4 "One Way" "Monthly Pass" "" ""
20 "One Way" "Monthly Pass" "" ""
17 "One Way" "Monthly Pass" "" ""
17 "One Way" "Monthly Pass" "" ""
50 "Round Trip" Walk-up "" ""
14 "One Way" "Monthly Pass" "" ""
114 "Round Trip" Walk-up "" ""
113 "Round Trip" Walk-up "" ""
6 "One Way" "Monthly Pass" "" ""
12 "One Way" "Monthly Pass" "" ""
19 "One Way" "Monthly Pass" "" ""
6 "One Way" "Monthly Pass" "" ""
9 "One Way" "Monthly Pass" "" ""
13 "One Way" Walk-up "" ""
18 "One Way" Walk-up "" ""
25 "One Way" Walk-up "" ""
12 "One Way" "Monthly Pass" "" ""
17 "One Way" "Monthly Pass" "" ""
23 "One Way" "Monthly Pass" "" ""
13 "One Way" Walk-up "" ""
