Father Mother Son Bin Bin(Father) Son_Mean Midpoint Raw_Mean Father_Height Son_Height
71 62 70 "71 to 72" "" "" "" Raw 71 70
71 62 72 "71 to 72" "" "" "" Raw 71 72
71 62 70.5 "71 to 72" "" "" "" Raw 71 70.5
71 62 70.5 "71 to 72" "" "" "" Raw 71 70.5
71 62.5 70 "71 to 72" "" "" "" Raw 71 70
71 62 70.5 "71 to 72" "" "" "" Raw 71 70.5
71 62 70 "71 to 72" "" "" "" Raw 71 70
71 62 69 "71 to 72" "" "" "" Raw 71 69
71 62 69 "71 to 72" "" "" "" Raw 71 69
71 62 66 "71 to 72" "" "" "" Raw 71 66
71 58 71.5 "71 to 72" "" "" "" Raw 71 71.5
71 58 69 "71 to 72" "" "" "" Raw 71 69
70 69 71 "70 to 71" "" "" "" Raw 70 71
70 69 70 "70 to 71" "" "" "" Raw 70 70
70 69 69 "70 to 71" "" "" "" Raw 70 69
70 69 70 "70 to 71" "" "" "" Raw 70 70
70 69 68.7 "70 to 71" "" "" "" Raw 70 68.7
70 68 75 "70 to 71" "" "" "" Raw 70 75
70 67 70 "70 to 71" "" "" "" Raw 70 70
70 67 69 "70 to 71" "" "" "" Raw 70 69
70 66.5 73 "70 to 71" "" "" "" Raw 70 73
70 66.5 72 "70 to 71" "" "" "" Raw 70 72
70 66.5 72 "70 to 71" "" "" "" Raw 70 72
70 66.5 66.5 "70 to 71" "" "" "" Raw 70 66.5
70.5 65 72 "70 to 71" "" "" "" Raw 70.5 72
70.5 65 70.2 "70 to 71" "" "" "" Raw 70.5 70.2
70.5 65 69 "70 to 71" "" "" "" Raw 70.5 69
70.5 65 68.5 "70 to 71" "" "" "" Raw 70.5 68.5
70 65 73 "70 to 71" "" "" "" Raw 70 73
70 65 72 "70 to 71" "" "" "" Raw 70 72
70 65 70.5 "70 to 71" "" "" "" Raw 70 70.5
70 65 65 "70 to 71" "" "" "" Raw 70 65
70 65 65 "70 to 71" "" "" "" Raw 70 65
70 65 67 "70 to 71" "" "" "" Raw 70 67
70 65 65 "70 to 71" "" "" "" Raw 70 65
70 65 70 "70 to 71" "" "" "" Raw 70 70
70 65 70 "70 to 71" "" "" "" Raw 70 70
70 65 79 "70 to 71" "" "" "" Raw 70 79
70 65 75 "70 to 71" "" "" "" Raw 70 75
70 65 71 "70 to 71" "" "" "" Raw 70 71
70 65 73 "70 to 71" "" "" "" Raw 70 73
70 65 72.5 "70 to 71" "" "" "" Raw 70 72.5
70 65 69 "70 to 71" "" "" "" Raw 70 69
70 65 69 "70 to 71" "" "" "" Raw 70 69
70 64.7 72 "70 to 71" "" "" "" Raw 70 72
70 64.7 70 "70 to 71" "" "" "" Raw 70 70
70 64.7 68.7 "70 to 71" "" "" "" Raw 70 68.7
70 64 70.7 "70 to 71" "" "" "" Raw 70 70.7
70 64 70 "70 to 71" "" "" "" Raw 70 70
70 64 68 "70 to 71" "" "" "" Raw 70 68
70 64 67 "70 to 71" "" "" "" Raw 70 67
70 64 66 "70 to 71" "" "" "" Raw 70 66
70 64 65 "70 to 71" "" "" "" Raw 70 65
70 64 70 "70 to 71" "" "" "" Raw 70 70
70 64 68 "70 to 71" "" "" "" Raw 70 68
70 64 66.7 "70 to 71" "" "" "" Raw 70 66.7
70 64.2 72 "70 to 71" "" "" "" Raw 70 72
70 64.2 70 "70 to 71" "" "" "" Raw 70 70
70.5 64 74 "70 to 71" "" "" "" Raw 70.5 74
70.5 64 69.5 "70 to 71" "" "" "" Raw 70.5 69.5
70.5 64 69 "70 to 71" "" "" "" Raw 70.5 69
70.5 64 68 "70 to 71" "" "" "" Raw 70.5 68
70.5 64 68 "70 to 71" "" "" "" Raw 70.5 68
70.5 64 68 "70 to 71" "" "" "" Raw 70.5 68
70 64 68 "70 to 71" "" "" "" Raw 70 68
70 64 71 "70 to 71" "" "" "" Raw 70 71
70 64 70 "70 to 71" "" "" "" Raw 70 70
70 64 70 "70 to 71" "" "" "" Raw 70 70
70 64 70 "70 to 71" "" "" "" Raw 70 70
70 64 69.5 "70 to 71" "" "" "" Raw 70 69.5
70 64 68.5 "70 to 71" "" "" "" Raw 70 68.5
70 63.7 70 "70 to 71" "" "" "" Raw 70 70
70 63.7 67 "70 to 71" "" "" "" Raw 70 67
70 63.7 65.5 "70 to 71" "" "" "" Raw 70 65.5
70.5 63 72.5 "70 to 71" "" "" "" Raw 70.5 72.5
70.5 63 69 "70 to 71" "" "" "" Raw 70.5 69
70.5 63 67 "70 to 71" "" "" "" Raw 70.5 67
70 63.5 71 "70 to 71" "" "" "" Raw 70 71
70 63.5 67.5 "70 to 71" "" "" "" Raw 70 67.5
70 63 68 "70 to 71" "" "" "" Raw 70 68
70 63 67 "70 to 71" "" "" "" Raw 70 67
70 63 70 "70 to 71" "" "" "" Raw 70 70
70 63 66.5 "70 to 71" "" "" "" Raw 70 66.5
70.5 62 72 "70 to 71" "" "" "" Raw 70.5 72
70.5 62 70 "70 to 71" "" "" "" Raw 70.5 70
70.5 62 69.5 "70 to 71" "" "" "" Raw 70.5 69.5
70.5 62 69.5 "70 to 71" "" "" "" Raw 70.5 69.5
70.5 62 68 "70 to 71" "" "" "" Raw 70.5 68
70.3 62.7 70.7 "70 to 71" "" "" "" Raw 70.3 70.7
70.3 62.7 69.7 "70 to 71" "" "" "" Raw 70.3 69.7
70.3 62.7 69.2 "70 to 71" "" "" "" Raw 70.3 69.2
70.3 62.7 65.2 "70 to 71" "" "" "" Raw 70.3 65.2
70.5 62 72 "70 to 71" "" "" "" Raw 70.5 72
70.5 62 72 "70 to 71" "" "" "" Raw 70.5 72
70 61 71.2 "70 to 71" "" "" "" Raw 70 71.2
70 61 67 "70 to 71" "" "" "" Raw 70 67
70 60 67 "70 to 71" "" "" "" Raw 70 67
70 60 64.5 "70 to 71" "" "" "" Raw 70 64.5
70 58.5 71.5 "70 to 71" "" "" "" Raw 70 71.5
70 58.5 64.5 "70 to 71" "" "" "" Raw 70 64.5
70 58 72 "70 to 71" "" "" "" Raw 70 72
70 58 66 "70 to 71" "" "" "" Raw 70 66
69 68.5 75 "69 to 70" "" "" "" Raw 69 75
69 68.5 71 "69 to 70" "" "" "" Raw 69 71
69 68.5 70 "69 to 70" "" "" "" Raw 69 70
69 66 73 "69 to 70" "" "" "" Raw 69 73
69 66 72 "69 to 70" "" "" "" Raw 69 72
69 66 71.7 "69 to 70" "" "" "" Raw 69 71.7
69 66 71.5 "69 to 70" "" "" "" Raw 69 71.5
69 66 71.2 "69 to 70" "" "" "" Raw 69 71.2
69 66 71 "69 to 70" "" "" "" Raw 69 71
69 66 70 "69 to 70" "" "" "" Raw 69 70
69 66.7 75 "69 to 70" "" "" "" Raw 69 75
69 66.7 74 "69 to 70" "" "" "" Raw 69 74
69 66.7 72 "69 to 70" "" "" "" Raw 69 72
69 66.7 68.5 "69 to 70" "" "" "" Raw 69 68.5
69 66.7 67 "69 to 70" "" "" "" Raw 69 67
69 66.7 66 "69 to 70" "" "" "" Raw 69 66
69 66 70 "69 to 70" "" "" "" Raw 69 70
69 66 68.5 "69 to 70" "" "" "" Raw 69 68.5
69 66 68 "69 to 70" "" "" "" Raw 69 68
69 66.5 73 "69 to 70" "" "" "" Raw 69 73
69 66.5 71 "69 to 70" "" "" "" Raw 69 71
69 66.5 70.5 "69 to 70" "" "" "" Raw 69 70.5
69 66.5 70.5 "69 to 70" "" "" "" Raw 69 70.5
69.5 66.5 70.5 "69 to 70" "" "" "" Raw 69.5 70.5
69.5 66.5 67.5 "69 to 70" "" "" "" Raw 69.5 67.5
69 66.5 71 "69 to 70" "" "" "" Raw 69 71
69.5 66 71 "69 to 70" "" "" "" Raw 69.5 71
69.5 66 71 "69 to 70" "" "" "" Raw 69.5 71
69.5 66 70.5 "69 to 70" "" "" "" Raw 69.5 70.5
69.5 66 70.5 "69 to 70" "" "" "" Raw 69.5 70.5
69 66 73 "69 to 70" "" "" "" Raw 69 73
69 66 72 "69 to 70" "" "" "" Raw 69 72
69 66 69 "69 to 70" "" "" "" Raw 69 69
69 66 69 "69 to 70" "" "" "" Raw 69 69
69 65 70 "69 to 70" "" "" "" Raw 69 70
69 65 68.5 "69 to 70" "" "" "" Raw 69 68.5
69 65 67 "69 to 70" "" "" "" Raw 69 67
69.5 64.5 69.7 "69 to 70" "" "" "" Raw 69.5 69.7
69.5 64.5 68 "69 to 70" "" "" "" Raw 69.5 68
69.5 64.5 60 "69 to 70" "" "" "" Raw 69.5 60
69.2 64 71.7 "69 to 70" "" "" "" Raw 69.2 71.7
69.2 64 66.5 "69 to 70" "" "" "" Raw 69.2 66.5
69 63 69 "69 to 70" "" "" "" Raw 69 69
69 63 72 "69 to 70" "" "" "" Raw 69 72
69 63 73 "69 to 70" "" "" "" Raw 69 73
69 63 70 "69 to 70" "" "" "" Raw 69 70
69 63 70 "69 to 70" "" "" "" Raw 69 70
69 63 64 "69 to 70" "" "" "" Raw 69 64
69 63.5 70.5 "69 to 70" "" "" "" Raw 69 70.5
69 63.5 67 "69 to 70" "" "" "" Raw 69 67
69 63.5 66 "69 to 70" "" "" "" Raw 69 66
69 63.5 70.5 "69 to 70" "" "" "" Raw 69 70.5
69.5 62 73 "69 to 70" "" "" "" Raw 69.5 73
69.5 62 72 "69 to 70" "" "" "" Raw 69.5 72
69.5 62 69 "69 to 70" "" "" "" Raw 69.5 69
69 62 73 "69 to 70" "" "" "" Raw 69 73
69 62 71 "69 to 70" "" "" "" Raw 69 71
69 62 71 "69 to 70" "" "" "" Raw 69 71
69 62 69 "69 to 70" "" "" "" Raw 69 69
69 62.5 71 "69 to 70" "" "" "" Raw 69 71
69 62.5 70 "69 to 70" "" "" "" Raw 69 70
69 62.5 70 "69 to 70" "" "" "" Raw 69 70
69 62.5 69 "69 to 70" "" "" "" Raw 69 69
69 62 72 "69 to 70" "" "" "" Raw 69 72
69 62 68 "69 to 70" "" "" "" Raw 69 68
69.5 61 70 "69 to 70" "" "" "" Raw 69.5 70
69.5 61 69.5 "69 to 70" "" "" "" Raw 69.5 69.5
69.5 61 69 "69 to 70" "" "" "" Raw 69.5 69
69 61 68 "69 to 70" "" "" "" Raw 69 68
69 61 68 "69 to 70" "" "" "" Raw 69 68
69 61 67.5 "69 to 70" "" "" "" Raw 69 67.5
69 61 64 "69 to 70" "" "" "" Raw 69 64
69 61 63 "69 to 70" "" "" "" Raw 69 63
69 61 63 "69 to 70" "" "" "" Raw 69 63
69 60 70.5 "69 to 70" "" "" "" Raw 69 70.5
69 60 69 "69 to 70" "" "" "" Raw 69 69
69 60 66 "69 to 70" "" "" "" Raw 69 66
69 60.5 69.5 "69 to 70" "" "" "" Raw 69 69.5
68.7 70.5 71 "68 to 69" "" "" "" Raw 68.7 71
68.5 67 73 "68 to 69" "" "" "" Raw 68.5 73
68.5 67 71 "68 to 69" "" "" "" Raw 68.5 71
68.5 66.5 70 "68 to 69" "" "" "" Raw 68.5 70
68.5 66.5 69 "68 to 69" "" "" "" Raw 68.5 69
68.5 66.5 69 "68 to 69" "" "" "" Raw 68.5 69
68.5 66.5 68.7 "68 to 69" "" "" "" Raw 68.5 68.7
68.5 66.5 68.5 "68 to 69" "" "" "" Raw 68.5 68.5
68.5 66.5 68.5 "68 to 69" "" "" "" Raw 68.5 68.5
68.5 66.5 68 "68 to 69" "" "" "" Raw 68.5 68
68.5 66.5 68 "68 to 69" "" "" "" Raw 68.5 68
68.5 66.5 68 "68 to 69" "" "" "" Raw 68.5 68
68 65 67.5 "68 to 69" "" "" "" Raw 68 67.5
68 65 66 "68 to 69" "" "" "" Raw 68 66
68 65.5 66 "68 to 69" "" "" "" Raw 68 66
68 65.5 71.7 "68 to 69" "" "" "" Raw 68 71.7
68 65.5 71.5 "68 to 69" "" "" "" Raw 68 71.5
68 65.5 70.7 "68 to 69" "" "" "" Raw 68 70.7
68 65.5 65.5 "68 to 69" "" "" "" Raw 68 65.5
68 65 72 "68 to 69" "" "" "" Raw 68 72
68 65 72 "68 to 69" "" "" "" Raw 68 72
68.5 65 69.2 "68 to 69" "" "" "" Raw 68.5 69.2
68.5 65 68 "68 to 69" "" "" "" Raw 68.5 68
68.5 65 66 "68 to 69" "" "" "" Raw 68.5 66
68.5 65 66 "68 to 69" "" "" "" Raw 68.5 66
68 64 71 "68 to 69" "" "" "" Raw 68 71
68 64 68 "68 to 69" "" "" "" Raw 68 68
68 64 68 "68 to 69" "" "" "" Raw 68 68
68 64 67 "68 to 69" "" "" "" Raw 68 67
68 64 66 "68 to 69" "" "" "" Raw 68 66
68 64 63 "68 to 69" "" "" "" Raw 68 63
68 64 71.2 "68 to 69" "" "" "" Raw 68 71.2
68 64 71.2 "68 to 69" "" "" "" Raw 68 71.2
68 64 69 "68 to 69" "" "" "" Raw 68 69
68 64 68.5 "68 to 69" "" "" "" Raw 68 68.5
68 64 69 "68 to 69" "" "" "" Raw 68 69
68 64 67 "68 to 69" "" "" "" Raw 68 67
68 64 66 "68 to 69" "" "" "" Raw 68 66
68 63 70.5 "68 to 69" "" "" "" Raw 68 70.5
68 63 70 "68 to 69" "" "" "" Raw 68 70
68 63 68 "68 to 69" "" "" "" Raw 68 68
68 63 66 "68 to 69" "" "" "" Raw 68 66
68 63 66 "68 to 69" "" "" "" Raw 68 66
68.5 63.5 73.5 "68 to 69" "" "" "" Raw 68.5 73.5
68.5 63.5 70 "68 to 69" "" "" "" Raw 68.5 70
68.5 63.5 69.5 "68 to 69" "" "" "" Raw 68.5 69.5
68 63 67 "68 to 69" "" "" "" Raw 68 67
68 63 70 "68 to 69" "" "" "" Raw 68 70
68 63 68 "68 to 69" "" "" "" Raw 68 68
68 63 71 "68 to 69" "" "" "" Raw 68 71
68 63 68 "68 to 69" "" "" "" Raw 68 68
68 63 66 "68 to 69" "" "" "" Raw 68 66
68 63 65.5 "68 to 69" "" "" "" Raw 68 65.5
68 63 65 "68 to 69" "" "" "" Raw 68 65
68 63 67 "68 to 69" "" "" "" Raw 68 67
68 63 67 "68 to 69" "" "" "" Raw 68 67
68 63 66 "68 to 69" "" "" "" Raw 68 66
68.5 63.5 68.2 "68 to 69" "" "" "" Raw 68.5 68.2
68 63 70 "68 to 69" "" "" "" Raw 68 70
68.2 63.5 70 "68 to 69" "" "" "" Raw 68.2 70
68.2 63.5 69 "68 to 69" "" "" "" Raw 68.2 69
68.2 63.5 67 "68 to 69" "" "" "" Raw 68.2 67
68.2 63.5 65.5 "68 to 69" "" "" "" Raw 68.2 65.5
68 62.5 68.5 "68 to 69" "" "" "" Raw 68 68.5
68.7 62 67.7 "68 to 69" "" "" "" Raw 68.7 67.7
68 62.5 66.5 "68 to 69" "" "" "" Raw 68 66.5
68 61 68.5 "68 to 69" "" "" "" Raw 68 68.5
68 61 68 "68 to 69" "" "" "" Raw 68 68
68 61 64 "68 to 69" "" "" "" Raw 68 64
68 60.2 66.7 "68 to 69" "" "" "" Raw 68 66.7
68 60 64 "68 to 69" "" "" "" Raw 68 64
68 60 67.5 "68 to 69" "" "" "" Raw 68 67.5
68 60 67 "68 to 69" "" "" "" Raw 68 67
68 60 66.5 "68 to 69" "" "" "" Raw 68 66.5
68.5 59 69 "68 to 69" "" "" "" Raw 68.5 69
68 59 68 "68 to 69" "" "" "" Raw 68 68
68 59 65 "68 to 69" "" "" "" Raw 68 65
68 59 64.7 "68 to 69" "" "" "" Raw 68 64.7
68 59 64 "68 to 69" "" "" "" Raw 68 64
68 59 64 "68 to 69" "" "" "" Raw 68 64
68 59 63 "68 to 69" "" "" "" Raw 68 63
67 66.2 72.7 "67 to 68" "" "" "" Raw 67 72.7
67 66.2 72.7 "67 to 68" "" "" "" Raw 67 72.7
67 66.2 71.5 "67 to 68" "" "" "" Raw 67 71.5
67 66.5 71 "67 to 68" "" "" "" Raw 67 71
67 65 69.7 "67 to 68" "" "" "" Raw 67 69.7
67 65 67.5 "67 to 68" "" "" "" Raw 67 67.5
67 65.5 70 "67 to 68" "" "" "" Raw 67 70
67 65.5 69 "67 to 68" "" "" "" Raw 67 69
67 65.5 70 "67 to 68" "" "" "" Raw 67 70
67 65.5 67.7 "67 to 68" "" "" "" Raw 67 67.7
67 65 65 "67 to 68" "" "" "" Raw 67 65
67.5 65 71 "67 to 68" "" "" "" Raw 67.5 71
67.5 65 69 "67 to 68" "" "" "" Raw 67.5 69
67 64 71.5 "67 to 68" "" "" "" Raw 67 71.5
67 64 70 "67 to 68" "" "" "" Raw 67 70
67 64 67 "67 to 68" "" "" "" Raw 67 67
67 64 67 "67 to 68" "" "" "" Raw 67 67
67 63.5 71 "67 to 68" "" "" "" Raw 67 71
67 63.5 70.2 "67 to 68" "" "" "" Raw 67 70.2
67 63.5 69.2 "67 to 68" "" "" "" Raw 67 69.2
67 63.5 68.5 "67 to 68" "" "" "" Raw 67 68.5
67 63.5 68 "67 to 68" "" "" "" Raw 67 68
67 63.5 67 "67 to 68" "" "" "" Raw 67 67
67 63.5 65.5 "67 to 68" "" "" "" Raw 67 65.5
67 63 69 "67 to 68" "" "" "" Raw 67 69
67 63 68 "67 to 68" "" "" "" Raw 67 68
67.5 62 70 "67 to 68" "" "" "" Raw 67.5 70
67.5 62 69.5 "67 to 68" "" "" "" Raw 67.5 69.5
67.5 62 69 "67 to 68" "" "" "" Raw 67.5 69
67.5 62 68.5 "67 to 68" "" "" "" Raw 67.5 68.5
67 61 67 "67 to 68" "" "" "" Raw 67 67
66 67 70.5 "66 to 67" "" "" "" Raw 66 70.5
66 67 70.5 "66 to 67" "" "" "" Raw 66 70.5
66 67 67 "66 to 67" "" "" "" Raw 66 67
66 67 66 "66 to 67" "" "" "" Raw 66 66
66 67 66 "66 to 67" "" "" "" Raw 66 66
66 67 72 "66 to 67" "" "" "" Raw 66 72
66 67 65 "66 to 67" "" "" "" Raw 66 65
66 67 65 "66 to 67" "" "" "" Raw 66 65
66 66 66 "66 to 67" "" "" "" Raw 66 66
66 66 65 "66 to 67" "" "" "" Raw 66 65
66 66 72 "66 to 67" "" "" "" Raw 66 72
66 66 68 "66 to 67" "" "" "" Raw 66 68
66.5 65 68.7 "66 to 67" "" "" "" Raw 66.5 68.7
66.5 65 68.5 "66 to 67" "" "" "" Raw 66.5 68.5
66.5 65 66.5 "66 to 67" "" "" "" Raw 66.5 66.5
66.5 65 64.5 "66 to 67" "" "" "" Raw 66.5 64.5
66 65.5 72 "66 to 67" "" "" "" Raw 66 72
66 65.5 71 "66 to 67" "" "" "" Raw 66 71
66 65.5 67 "66 to 67" "" "" "" Raw 66 67
66 63 70 "66 to 67" "" "" "" Raw 66 70
66.5 63 67.2 "66 to 67" "" "" "" Raw 66.5 67.2
66.5 63 67 "66 to 67" "" "" "" Raw 66.5 67
66.5 63 65 "66 to 67" "" "" "" Raw 66.5 65
66.5 62.5 70 "66 to 67" "" "" "" Raw 66.5 70
66.5 62.5 68 "66 to 67" "" "" "" Raw 66.5 68
66 61.5 70 "66 to 67" "" "" "" Raw 66 70
66 60 68 "66 to 67" "" "" "" Raw 66 68
66 60 67 "66 to 67" "" "" "" Raw 66 67
66 60 65 "66 to 67" "" "" "" Raw 66 65
66 60 65 "66 to 67" "" "" "" Raw 66 65
66 59 68 "66 to 67" "" "" "" Raw 66 68
66 59 67 "66 to 67" "" "" "" Raw 66 67
66 59 66.5 "66 to 67" "" "" "" Raw 66 66.5
66 59 66 "66 to 67" "" "" "" Raw 66 66
66 59 65.7 "66 to 67" "" "" "" Raw 66 65.7
66 59 65.5 "66 to 67" "" "" "" Raw 66 65.5
66 59 65 "66 to 67" "" "" "" Raw 66 65
65 67 66.5 "65 to 66" "" "" "" Raw 65 66.5
65 67 66 "65 to 66" "" "" "" Raw 65 66
65 67 66 "65 to 66" "" "" "" Raw 65 66
65 66 63 "65 to 66" "" "" "" Raw 65 63
65 65 69 "65 to 66" "" "" "" Raw 65 69
65 65 68 "65 to 66" "" "" "" Raw 65 68
65 65 68 "65 to 66" "" "" "" Raw 65 68
65 65.5 70.7 "65 to 66" "" "" "" Raw 65 70.7
65 65 69.2 "65 to 66" "" "" "" Raw 65 69.2
65 65 69 "65 to 66" "" "" "" Raw 65 69
65 65 68 "65 to 66" "" "" "" Raw 65 68
65 65 67.7 "65 to 66" "" "" "" Raw 65 67.7
65 64 67 "65 to 66" "" "" "" Raw 65 67
65 64 67 "65 to 66" "" "" "" Raw 65 67
65 63 70 "65 to 66" "" "" "" Raw 65 70
65 63 66 "65 to 66" "" "" "" Raw 65 66
65 63 66 "65 to 66" "" "" "" Raw 65 66
65.5 63 71 "65 to 66" "" "" "" Raw 65.5 71
65.5 63 71 "65 to 66" "" "" "" Raw 65.5 71
65.5 63 69 "65 to 66" "" "" "" Raw 65.5 69
65.5 60 68 "65 to 66" "" "" "" Raw 65.5 68
65.5 60 68 "65 to 66" "" "" "" Raw 65.5 68
65.5 60 67 "65 to 66" "" "" "" Raw 65.5 67
65.5 60 67 "65 to 66" "" "" "" Raw 65.5 67
64 64 71.5 "64 to 65" "" "" "" Raw 64 71.5
64 64 68 "64 to 65" "" "" "" Raw 64 68
64 64 70.5 "64 to 65" "" "" "" Raw 64 70.5
64 64 68 "64 to 65" "" "" "" Raw 64 68
64 63 64.5 "64 to 65" "" "" "" Raw 64 64.5
64 60 66 "64 to 65" "" "" "" Raw 64 66
62 66 64 "62 to 63" "" "" "" Raw 62 64
62.5 63 66.5 "62 to 63" "" "" "" Raw 62.5 66.5
68.5 65 72 "68 to 69" "" "" "" Raw 68.5 72
68.5 65 70.5 "68 to 69" "" "" "" Raw 68.5 70.5
