RK PLAYER TEAM ERA K/BB K/9 P/PA P/IP W% GB FB G/F RS WHIP
19 "Julio Teheran" ATL 2.89 3.65 7.57 3.7 14.8 0.519 240 400 0.6 3.18 1.08
20 "Dallas Keuchel" HOU 2.93 3.04 6.57 3.74 15.1 0.571 394 210 1.88 4.62 1.18
21 "Madison Bumgarner" SF 2.98 5.09 9.07 3.86 15.5 0.643 281 322 0.87 5.03 1.09
22 "Jeff Samardzija" OAK/CHC 2.99 4.7 8.28 3.8 15.2 0.35 322 300 1.07 3.55 1.07
23 "Edinson Volquez" PIT 3.04 1.97 6.54 3.68 15.5 0.65 310 272 1.14 4.35 1.23
24 "Sonny Gray" OAK 3.08 2.47 7.52 3.67 15 0.583 368 266 1.38 4 1.19
25 "Stephen Strasburg" WSH 3.14 5.63 10.13 3.8 15.3 0.56 281 295 0.95 4.74 1.12
26 "Max Scherzer" DET 3.15 4 10.29 4.02 16.5 0.783 224 358 0.63 5.12 1.18
27 "Yordano Ventura" KC 3.2 2.3 7.82 3.82 16.3 0.583 267 282 0.95 3.9 1.3
28 "James Shields" KC 3.21 4.09 7.14 3.87 16 0.636 330 372 0.89 4.35 1.18
29 "David Price" DET/TB 3.26 7.13 9.82 3.7 15 0.556 300 392 0.77 4.06 1.08
30 "Jose Quintana" CHW 3.32 3.42 8 4.03 16.7 0.45 282 316 0.89 3.91 1.24
31 "Chris Archer" TB 3.33 2.4 8 3.84 16.2 0.526 271 297 0.91 4.38 1.28
32 "Chris Tillman" BAL 3.34 2.27 6.51 3.92 16.5 0.684 274 376 0.73 4.88 1.23
33 "Francisco Liriano" PIT 3.38 2.16 9.7 3.93 16.7 0.412 244 185 1.32 3.38 1.3
34 "Mark Buehrle" TOR 3.39 2.59 5.3 3.6 15.3 0.565 312 375 0.83 4.84 1.36
35 "Jonathon Niese" NYM 3.4 3.07 6.62 3.55 14.9 0.45 296 299 0.99 3.47 1.27
36 "Rick Porcello" DET 3.43 3.15 5.67 3.64 14.9 0.536 340 324 1.05 3.97 1.23
37 "Alfredo Simon" CIN 3.44 2.27 5.82 3.68 15.4 0.6 314 307 1.02 3.88 1.21
38 "Josh Collmenter" ARI 3.46 2.95 5.77 3.78 15.2 0.55 231 330 0.7 4.39 1.13
39 "Jason Hammel" OAK/CHC 3.47 3.59 8.06 3.91 15.9 0.476 203 301 0.67 3.59 1.12
40 "Yovani Gallardo" MIL 3.51 2.7 6.83 3.94 16.7 0.421 329 284 1.16 3.06 1.29
41 "Hisashi Iwakuma" SEA 3.52 7.33 7.74 3.59 14.2 0.625 277 254 1.09 3.93 1.05
42 "Phil Hughes" MIN 3.52 11.63 7.98 3.56 14.5 0.615 243 403 0.6 4.16 1.13
43 "Wily Peralta" MIL 3.53 2.52 6.98 3.81 16.1 0.607 344 271 1.27 4.03 1.3
44 "Wei-Yin Chen" BAL 3.54 3.89 6.59 3.86 16 0.727 254 343 0.74 4.77 1.23
45 "Kyle Lohse" MIL 3.54 3.13 6.4 3.67 15.1 0.591 260 358 0.73 4.81 1.15
46 "Zack Wheeler" NYM 3.54 2.37 9.08 4.17 17.8 0.5 286 229 1.25 4.09 1.33
47 "Scott Kazmir" OAK 3.55 3.28 7.75 3.84 15.7 0.625 249 309 0.81 4.81 1.16
48 "Tim Hudson" SF 3.57 3.53 5.7 3.53 14.7 0.409 339 289 1.17 3.71 1.23
49 "Aaron Harang" ATL 3.57 2.27 7.09 3.87 16.6 0.5 272 371 0.73 3.61 1.4
50 "Jered Weaver" LAA 3.59 2.6 7.13 3.77 15.7 0.667 229 417 0.55 4.91 1.21
51 "Ian Kennedy" SD 3.63 2.96 9.27 4.02 16.9 0.5 240 325 0.74 3.33 1.29
52 "Matt Garza" MIL 3.64 2.52 6.94 3.73 15.5 0.5 231 268 0.86 4.15 1.18
53 "Bud Norris" BAL 3.65 2.67 7.57 4 16.6 0.652 212 269 0.79 4.89 1.22
54 "Chris Young" SEA 3.65 1.8 5.89 3.95 16.5 0.571 129 387 0.33 3.59 1.23
55 "Jarred Cosart" HOU/MIA 3.69 1.58 5.74 3.85 16.3 0.542 320 254 1.26 4.27 1.36
56 "Mike Leake" CIN 3.7 3.28 6.89 3.56 15 0.458 370 303 1.22 3.88 1.25
57 "Jason Vargas" KC 3.71 3.12 6.16 3.8 16.1 0.524 253 362 0.7 4.17 1.27
58 "Hiroki Kuroda" NYY 3.71 4.17 6.6 3.78 15.6 0.55 309 323 0.96 3.75 1.14
59 "R.A. Dickey" TOR 3.71 2.34 7.22 3.84 16.3 0.519 293 360 0.81 4.74 1.23
60 "Jake Peavy" BOS/SF 3.73 2.51 7.02 3.79 15.9 0.35 259 363 0.71 3.53 1.28
61 "Shelby Miller" STL 3.74 1.74 6.25 3.74 15.6 0.526 237 321 0.74 3.55 1.27
62 "Scott Feldman" HOU 3.74 2.14 5.34 3.87 16.4 0.4 291 304 0.96 3.62 1.3
63 "Tom Koehler" MIA 3.81 2.15 7.2 3.66 15.4 0.5 261 309 0.84 4.19 1.3
64 "John Lackey" BOS/STL 3.82 3.49 7.45 3.7 15.5 0.583 292 328 0.89 4.29 1.28
65 "Roenis Elias" SEA 3.85 2.23 7.86 3.84 16.3 0.455 226 249 0.91 3.97 1.31
66 "Ervin Santana" ATL 3.95 2.84 8.22 3.66 15.2 0.583 259 312 0.83 4.23 1.31
67 "Ryan Vogelsong" SF 4 2.6 7.36 3.92 16.6 0.381 229 333 0.69 3.38 1.28
68 "Dan Haren" LAD 4.02 4.03 7.02 3.99 16.7 0.542 252 337 0.75 3.94 1.18
69 "Brandon McCarthy" NYY/ARI 4.05 5.3 7.88 3.64 15.2 0.4 337 287 1.17 3.34 1.28
70 "Bartolo Colon" NYM 4.09 5.03 6.72 3.56 14.9 0.536 275 384 0.72 4.81 1.23
71 "Roberto Hernandez" LAD/PHI 4.1 1.44 5.74 3.79 16.6 0.421 270 263 1.03 4.52 1.39
72 "Jorge De La Rosa" COL 4.1 2.07 6.79 3.99 16.6 0.56 295 257 1.15 5.03 1.24
73 "Jake Odorizzi" TB 4.13 2.95 9.32 4.21 18 0.458 154 325 0.47 3.77 1.28
74 "Jeremy Guthrie" KC 4.13 2.53 5.51 3.74 16 0.542 304 373 0.82 4.19 1.3
75 "Eric Stults" SD 4.3 2.47 5.68 3.71 16.1 0.32 275 328 0.84 2.53 1.38
76 "Wade Miley" ARI 4.34 2.44 8.18 3.71 16 0.4 317 286 1.11 3.55 1.4
77 "Nathan Eovaldi" MIA 4.37 3.3 6.4 3.74 16 0.3 308 353 0.87 3.39 1.33
78 "Kyle Gibson" MIN 4.47 1.88 5.37 3.7 15.6 0.52 336 255 1.32 4.39 1.31
79 "Drew Hutchison" TOR 4.48 3.07 8.97 3.88 16.5 0.458 197 334 0.59 3.88 1.26
80 "C.J. Wilson" LAA 4.51 1.78 7.74 4.08 17.7 0.565 255 259 0.98 5.26 1.45
81 "Justin Verlander" DET 4.54 2.45 6.95 3.82 16.5 0.556 276 387 0.71 5.19 1.4
82 "A.J. Burnett" PHI 4.59 1.98 8 3.71 16.2 0.308 334 299 1.12 3.21 1.41
83 "Kyle Kendrick" PHI 4.61 2.12 5.47 3.59 15.6 0.435 319 356 0.9 4.16 1.36
84 "John Danks" CHW 4.74 1.74 5.99 3.86 17 0.5 281 358 0.78 4.31 1.44
85 "Hector Noesi" CHW/SEA/TEX 4.75 2.2 6.42 3.76 16 0.4 220 332 0.66 3.74 1.37
86 "Travis Wood" CHC 5.03 1.92 7.57 3.9 17.5 0.381 202 347 0.58 4.65 1.53
87 "Colby Lewis" TEX 5.18 2.77 7.03 3.68 16.5 0.417 200 372 0.54 5.03 1.52
88 "Clay Buchholz" BOS 5.34 2.44 6.97 3.72 16.1 0.421 258 282 0.91 4.18 1.39
