Player Pos. Weight "40 YD" Vertical Bench Shuttle Cone "20 YD"
"Deon Long" WR 192 4.51 34 12 4.27 6.98 2.65
"Derrick Lott" DT 314 4.99 26 30 4.44 7.3 2.92
"Donatella Luckett" WR 211 4.65 34 17 4.5 7.51 2.75
"Craig Mager" CB 201 4.44 38 17 4.07 6.83 2.58
"Dean Marlowe" S 203 4.58 33 16 4.18 7 2.68
"Ali Marpet" OG 307 4.98 30 30 4.47 7.33 2.87
"Nick Marshall" CB 207 4.54 37 12 4.15 6.96 2.65
"Lorenzo Mauldin" OLB 259 4.85 32 23 4.58 7.47 2.83
"Tre McBride" WR 210 4.41 38 16 4.08 6.96 2.55
"Bobby McCain" CB 195 4.51 36 17 3.82 6.8 2.63
"Ellis McCarthy" DT 338 5.21 32 24 5.07 8.16 3.02
"Tevin McDonald" S 195 4.63 33 19 4.26 7.01 2.69
"Benardrick McKinney" ILB 246 4.66 40 16 4.27 7.21 2.73
"John Miller" OG 303 5.33 27 29 4.75 8.2 3.08
"Mitch Morse" OG 305 5.14 31 36 4.5 7.6 3.04
"Steven Nelson" CB 197 4.49 34 19 4.07 6.88 2.63
"Rakeem Nunez-Roches" DT 307 5.02 34 26 4.69 7.67 2.9
"Owamagbe Odighizuwa" DE 267 4.62 39 25 4.19 7.36 2.69
"Nick OLeary" TE 252 4.93 30 21 4.5 7.4 2.94
"Garry Peters" CB 191 4.61 32 7 4 6.8 2.68
"Marcus Peters" CB 197 4.53 37 17 4.08 7.08 2.66
"Jordan Phillips" DT 329 5.17 30 28 4.68 7.88 3.01
"Terry Poole" OT 307 5.09 31 25 4.66 7.9 3.04
"Jeremiah Poutasi" OG 335 5.32 26 26 4.89 8.09 3.12
"Cody Prewitt" S 208 4.6 35 11 4.23 7.12 2.7
"MyCole Pruitt" TE 251 4.58 38 17 4.37 7.25 2.7
"Hayes Pullard" ILB 240 4.78 31 19 4.39 7.07 2.76
"Damarious Randall" S 196 4.46 38 14 4.07 6.83 2.58
"Jordan Richards" S 211 4.65 32 13 4.22 6.74 2.72
"Edmond Robinson" OLB 245 4.61 37 20 4.38 7.49 2.69
"Quinten Rollins" CB 195 4.57 36 14 4.28 7.1 2.67
"Eric Rowe" CB 205 4.45 39 19 3.97 6.7 2.61
"Ezell Ruffin" WR 218 4.68 27 17 4.58 7.35 2.73
"Ryan Russell" DE 269 4.75 32 25 4.47 7.25 2.75
"Jake Ryan" OLB 240 4.65 34 20 4.2 7.11 2.71
"Ty Sambrailo" OT 311 5.36 29 23 4.58 7.54 3.1
"Ross Scheuerman" WR 204 4.62 33 15 4.11 7.08 2.73
"Josh Shaw" CB 201 4.44 37 26 4.12 7.01 2.59
"Danny Shelton" DT 339 5.64 30 34 4.65 7.99 3.21
"Austin Shepherd" OT 315 5.39 29 17 4.7 8.04 3.16
"Deon Simon" DT 321 5.12 29 35 4.76 7.92 2.99
"DJoun Smith" CB 187 4.45 36 18 4.26 6.96 2.6
"Donovan Smith" OT 338 5.27 32 26 4.79 7.95 3.04
"Preston Smith" DE 271 4.74 34 24 4.28 7.07 2.73
"Tye Smith" CB 195 4.6 36 15 3.96 6.97 2.67
"ZaDarius Smith" DE 274 4.83 29 23 4.66 7.42 2.86
"J.T. Surratt" DT 304 5.19 30 29 4.71 7.78 3.05
"Eric Tomlinson" TE 263 4.98 30 19 4.54 7.46 2.91
"Laken Tomlinson" OG 323 5.33 31 25 4.87 8.17 3.11
"Lynden Trail" DE 269 4.91 32 24 4.48 7.32 2.89
"Zach Wagenmann" DE 247 4.82 37 14 4.26 7.07 2.77
"Clive Walford" TE 251 4.79 35 20 4.57 7.32 2.84
"Darren Waller" WR 238 4.46 37 12 4.25 7.07 2.62
"Leterrius Walton" DT 319 5.25 27 25 4.78 7.91 2.99
"Tony Washington" OLB 247 4.99 32 17 4.31 7.2 2.89
"Trae Waynes" CB 186 4.31 38 19 4.39 7.06 2.55
"Kevin White" WR 215 4.35 36 23 4.14 6.92 2.54
"Jermaine Whitehead" S 197 4.59 37 15 4.11 6.95 2.7
"Karlos Williams" RB 230 4.48 33 16 4.46 7.16 2.66
"Maxx Williams" TE 249 4.78 34 17 4.37 7.3 2.88
"P.J. Williams" CB 194 4.57 40 12 4.28 7.08 2.63
"Trey Williams" RB 195 4.49 33 18 4.12 6.84 2.64
"Damien Wilson" ILB 245 4.77 37 22 4.2 7.21 2.76
"Gabe Wright" DT 300 5.07 26 34 4.56 7.73 2.96
"T.J. Yeldon" RB 226 4.61 36 22 4.22 7.19 2.71
"Zach Zenner" FB 223 4.6 41 25 4.14 7.08 2.71
