Month Day Time State "F.Scale" Injuries Fatalities PropLoss Length Width NumberStates F0 ln(Length)
1 13 9:33:00 TX 0 0 0 0 1.19 25 1 Yes 0.17395330712343798
1 15 15:48:00 TX 0 0 0 0 1.25 20 1 Yes 0.22314355131420976
1 15 17:45:00 TX 2 0 0 500000 12.92 200 1 No 2.558776498354456
1 15 18:17:00 TX 1 0 0 90000 1.38 120 1 No 0.3220834991691133
1 15 18:35:00 TX 1 2 0 300000 6.5 200 1 No 1.8718021769015913
1 15 19:00:00 TX 2 0 0 0 1.99 450 1 No 0.688134638736401
1 15 20:11:00 TX 0 0 0 150000 3.07 40 1 Yes 1.1216775615991057
1 15 20:43:00 TX 0 0 0 120000 0.31 80 1 Yes -1.171182981502945
1 16 2:43:00 TX 0 0 0 300000 3.13 250 1 Yes 1.1410330045520618
1 16 7:31:00 TX 0 0 0 0 0.1 20 1 Yes -2.3025850929940455
1 16 8:35:00 TX 0 0 0 0 0.1 20 1 Yes -2.3025850929940455
1 16 8:40:00 TX 0 0 0 0 0.2 20 1 Yes -1.6094379124341003
1 18 13:40:00 TX 1 0 0 50000 0.6 25 1 No -0.5108256237659907
1 19 7:53:00 MS 2 1 0 2300000 19.26 500 1 No 2.9580304063699794
1 19 17:58:00 AL 1 0 0 0 0.7 175 1 No -0.35667494393873245
1 21 3:35:00 MS 3 57 4 9460000 31.06 900 1 No 3.435920817720541
1 21 5:14:00 AL 2 4 0 750000 20.42 800 1 No 3.01651481273652
1 21 5:55:00 AL 1 0 0 0 4.17 900 1 No 1.4279160358107101
1 21 7:49:00 GA 1 0 0 50000 5.42 200 1 No 1.6900958154515549
1 21 7:55:00 AL 1 0 0 0 0.68 200 1 No -0.38566248081198456
1 21 7:55:00 AL 1 0 0 0 1.53 450 1 No 0.4252677354043441
1 21 7:57:00 AL 0 0 0 0 0.21 90 1 Yes -1.5606477482646683
1 21 8:48:00 AL 1 0 0 0 2.84 100 1 No 1.0438040521731147
1 21 8:49:00 AL 0 0 0 0 2.38 150 1 Yes 0.8671004876833832
1 21 8:55:00 AL 1 0 0 0 37.34 400 1 No 3.6200651381135764
1 21 8:56:00 AL 0 0 0 0 1.07 150 1 Yes 0.06765864847381486
1 21 9:00:00 AL 0 0 0 0 0.83 150 1 Yes -0.18632957819149348
1 21 9:08:00 AL 0 0 0 0 0.12 50 1 Yes -2.120263536200091
1 21 9:19:00 AL 1 0 0 0 0.92 300 1 No -0.08338160893905101
1 21 9:33:00 GA 1 0 0 75000 10.84 400 1 No 2.3832429960115
1 21 10:06:00 GA 0 0 0 10000 1.92 100 1 Yes 0.6523251860396901
1 21 10:14:00 GA 1 0 0 65000 9.52 300 1 No 2.253394848803274
1 21 10:18:00 GA 1 0 0 100000 12.25 400 1 No 2.505525936990736
1 21 10:22:00 GA 2 0 0 300000 5.68 300 1 No 1.7369512327330598
1 21 10:25:00 GA 1 0 0 75000 5.26 200 1 No 1.6601310267496183
1 21 10:32:00 GA 0 0 0 20000 0.78 100 1 Yes -0.2484613592984996
1 21 10:39:00 GA 1 0 0 20000 1.87 175 1 No 0.6259384308664953
1 21 10:59:00 GA 1 0 0 30000 8.92 100 1 No 2.188295946591918
1 21 11:08:00 GA 0 0 0 15000 8.84 250 1 Yes 2.179286876649552
1 21 11:11:00 GA 2 0 0 295000 12.85 350 1 No 2.553343811341229
1 21 11:46:00 GA 0 0 0 50000 4.23 100 1 Yes 1.4422019930581866
1 21 11:50:00 GA 1 0 0 30000 4.32 100 1 No 1.463255402256019
1 21 11:54:00 GA 1 0 0 10000 5.84 100 1 No 1.7647307968401358
1 21 12:10:00 GA 0 0 0 25000 0.57 50 1 Yes -0.5621189181535413
1 21 12:20:00 GA 0 0 0 12000 2.18 85 1 Yes 0.7793248768009977
1 21 12:28:00 GA 1 0 0 10000 0.53 70 1 No -0.6348782724359695
1 21 12:39:00 GA 0 0 0 10000 6.39 100 1 Yes 1.8547342683894434
1 21 12:40:00 GA 1 0 0 30000 2.59 300 1 No 0.9516578757114463
1 21 12:45:00 GA 1 0 0 50000 1.3 300 1 No 0.26236426446749106
1 21 12:46:00 GA 1 0 0 60000 8.38 300 1 No 2.125847914493992
1 21 13:09:00 GA 0 0 0 0 1.3 250 1 Yes 0.26236426446749106
1 21 13:11:00 GA 0 0 0 50000 4.8 200 1 Yes 1.5686159179138452
1 21 13:23:00 GA 0 0 0 0 1.5 100 1 Yes 0.4054651081081644
1 21 13:40:00 GA 1 0 0 0 1 75 1 No 0
1 21 13:42:00 GA 0 0 0 0 0.69 50 1 Yes -0.37106368139083207
1 21 13:50:00 GA 0 0 0 0 0.91 250 1 Yes -0.09431067947124129
1 21 13:52:00 GA 1 0 0 0 2.7 525 1 No 0.9932517730102834
1 21 14:47:00 SC 2 1 0 0 13.78 1600 1 No 2.6232182655855123
1 21 15:09:00 SC 1 0 0 0 5.47 400 1 No 1.6992786164338898
1 21 16:18:00 TX 2 0 0 1000000 6.93 230 1 No 1.9358598132018119
1 21 16:19:00 TX 1 0 0 250000 0.81 100 1 No -0.21072103131565253
1 21 16:50:00 TX 2 1 0 900000 13.36 800 2 No 2.5922651681085
1 21 16:50:00 TX 2 1 0 825000 10.99 800 2 No 2.3969857684155302
1 21 17:23:00 LA 2 0 0 75000 2.37 400 2 No 0.8628899551470399
1 21 17:12:00 LA 2 1 0 825000 10.79 990 1 No 2.378619779270043
1 21 17:55:00 LA 1 0 0 10000 3.5 350 1 No 1.252762968495368
1 21 17:56:00 LA 2 1 0 500000 2.04 300 1 No 0.712949807856125
1 21 19:00:00 LA 1 1 0 250000 2.23 150 1 No 0.8020015854720274
1 21 19:04:00 AR 1 0 0 10000 2.89 75 1 No 1.061256502124341
1 21 19:38:00 AR 0 0 0 25000 0.61 50 1 Yes -0.4942963218147801
1 21 19:51:00 LA 0 0 0 25000 1.24 150 1 Yes 0.2151113796169455
1 21 20:29:00 LA 0 0 0 90000 0.16 100 1 Yes -1.8325814637483102
1 21 20:45:00 AR 0 0 0 3000 0.67 50 1 Yes -0.40047756659712525
1 21 20:48:00 LA 0 0 0 10000 0.62 50 1 Yes -0.4780358009429998
1 21 21:04:00 LA 1 0 0 145000 8.87 300 1 No 2.182674796321488
1 21 22:44:00 MS 2 1 0 175000 7.28 550 1 No 1.9851308622085946
1 22 1:56:00 GA 2 3 0 270000 18.67 700 1 No 2.9269179575536315
1 22 2:29:00 GA 3 45 11 2500000 24.66 700 1 No 3.2051824977361982
1 22 3:25:00 GA 1 0 0 0 0.59 250 1 No -0.527632742082372
1 22 3:47:00 GA 1 0 0 0 3.11 1200 1 No 1.1346227261911428
1 22 4:52:00 GA 1 0 0 0 11.12 1900 1 No 2.4087452888224363
1 22 6:00:00 GA 1 0 0 250000 4.84 400 1 No 1.5769147207285403
1 22 12:36:00 AL 0 0 0 0 0.28 200 1 Yes -1.2729656758128873
1 22 13:02:00 AL 1 0 0 100000 5.52 100 1 No 1.7083778602890038
1 22 13:06:00 AL 1 0 0 0 1.98 320 1 No 0.6830968447064438
1 22 13:38:00 GA 2 1 0 650000 12.03 400 1 No 2.4874035299865875
1 22 13:46:00 AL 0 0 0 0 4.76 200 1 Yes 1.5602476682433286
1 22 13:50:00 FL 1 0 0 0 2.36 350 1 No 0.8586616190375187
1 22 14:00:00 AL 1 0 0 0 3.08 540 1 No 1.1249295969854831
1 22 14:15:00 GA 3 88 5 310300000 70.4 2200 1 No 4.254193263163997
1 22 14:52:00 GA 1 0 0 20000 6.93 300 1 No 1.9358598132018119
1 22 15:00:00 GA 1 0 0 10000 0.29 900 1 No -1.2378743560016174
1 22 15:15:00 GA 1 0 0 20000 2.24 100 1 No 0.8064758658669486
1 22 15:22:00 GA 0 0 0 10000 0.56 50 1 Yes -0.579818495252942
1 22 15:47:00 GA 1 0 0 0 3.11 1200 1 No 1.1346227261911428
1 22 17:26:00 GA 1 0 0 0 16.64 120 1 No 2.8118094353930627
1 22 17:29:00 GA 1 0 0 0 1.65 120 1 No 0.5007752879124892
1 23 0:25:00 FL 1 0 0 0 3.22 90 1 No 1.169381359556317
1 23 0:40:00 FL 1 0 0 1000000 5.79 130 1 No 1.7561322915849038
1 23 2:45:00 FL 1 0 0 0 2.79 123 1 No 1.0260415958332743
2 7 9:16:00 TN 0 0 0 15000 0.5 50 1 Yes -0.6931471805599453
2 7 10:20:00 LA 2 3 0 0 23.08 500 1 No 3.138966441639899
2 7 10:51:00 LA 0 0 0 0 0.95 25 1 Yes -0.05129329438755058
2 7 11:04:00 LA 1 0 1 0 6.13 75 1 No 1.81319474994812
2 7 11:12:00 LA 3 33 0 0 10.09 600 1 No 2.3115448343655176
2 7 11:50:00 LA 3 3 0 0 6.43 350 1 No 1.860974538249528
2 7 12:20:00 LA 1 0 0 0 0.26 50 1 No -1.3470736479666092
2 7 13:42:00 AL 0 0 0 0 0.2 85 1 Yes -1.6094379124341003
2 7 15:23:00 AL 0 1 0 100000 0.51 150 1 Yes -0.6733445532637656
2 7 15:36:00 GA 1 0 0 150000 2.31 250 1 No 0.8372475245337022
2 7 16:07:00 MS 2 0 0 350000 4.83 880 1 No 1.5748464676644813
2 7 17:23:00 MS 1 0 0 100000 3.09 50 1 No 1.128171090909654
2 7 19:40:00 KY 0 0 0 25000 1.84 50 1 Yes 0.6097655716208943
2 7 21:00:00 FL 1 0 0 0 1.06 75 1 No 0.058268908123975824
2 7 21:37:00 FL 1 0 0 0 0.53 160 1 No -0.6348782724359695
2 9 2:51:00 GA 2 7 0 0 9.81 300 1 No 2.2834022735772717
2 14 7:40:00 TX 0 0 0 10000 1 200 1 Yes 0
2 14 8:15:00 TX 1 6 0 900000 1.72 300 1 No 0.5423242908253616
2 14 8:21:00 TX 2 0 0 1000000 0.68 300 1 No -0.38566248081198456
2 14 8:27:00 TX 0 0 0 500000 0.6 30 1 Yes -0.5108256237659907
2 14 8:34:00 TX 0 0 0 200000 0.4 200 1 Yes -0.916290731874155
2 14 8:38:00 TX 0 0 0 150000 0.76 100 1 Yes -0.2744368457017603
2 14 8:40:00 TX 0 0 0 100000 1.49 150 1 Yes 0.3987761199573678
2 15 10:30:00 SC 1 0 0 997000 4.92 60 1 No 1.5933085305042167
2 15 10:53:00 NC 1 0 0 80000 3.18 60 1 No 1.1568811967920856
2 19 22:36:00 TX 2 0 0 0 4.64 600 1 No 1.534714366238164
2 19 22:42:00 TX 0 0 0 0 1.61 100 1 Yes 0.47623417899637166
2 19 22:43:00 TX 1 0 0 0 3 200 1 No 1.0986122886681096
2 19 23:00:00 TX 0 0 0 0 0.7 100 1 Yes -0.35667494393873245
2 19 23:16:00 TX 0 0 0 0 0.23 75 1 Yes -1.4696759700589417
2 19 23:26:00 TX 1 0 0 0 9.75 300 1 No 2.277267285009756
2 19 23:48:00 TX 0 0 0 0 3 100 1 Yes 1.0986122886681096
2 20 0:25:00 TX 2 0 0 0 9.4 200 1 No 2.2407096892759584
2 20 0:28:00 TX 2 0 0 0 4.24 100 1 No 1.4445632692438664
2 25 13:35:00 PA 2 0 0 300000 12.52 500 1 No 2.5273273656719524
2 25 14:06:00 MD 1 0 0 0 8.44 125 1 No 2.1329823086078656
2 25 14:15:00 PA 1 0 0 200000 1.7 100 1 No 0.5306282510621704
2 25 18:18:00 MA 1 0 0 250000 2.9 100 1 No 1.0647107369924282
2 25 18:23:00 MA 1 1 0 400000 4.64 200 1 No 1.534714366238164
2 28 15:53:00 IA 0 0 0 0 0.04 25 1 Yes -3.2188758248682006
2 28 16:12:00 IL 1 0 0 100000 5.53 100 1 No 1.7101878155342436
2 28 16:27:00 IL 0 0 0 0 1.75 50 1 Yes 0.5596157879354227
2 28 16:41:00 IL 3 14 2 0 11.5 800 1 No 2.4423470353692043
2 28 16:44:00 IL 1 0 0 0 2.62 75 1 No 0.9631743177730056
2 28 16:58:00 IL 1 0 0 0 2.8 200 1 No 1.0296194171811581
2 28 17:04:00 IL 0 0 0 0 1.2 200 1 Yes 0.1823215567939546
2 28 17:07:00 IL 1 0 0 0 1.5 50 1 No 0.4054651081081644
2 28 17:10:00 IL 0 0 0 0 0.07 25 1 Yes -2.659260036932778
2 28 17:15:00 IL 0 0 0 75000 0.89 100 1 Yes -0.11653381625595151
2 28 17:26:00 IL 3 0 0 2000000 17.77 600 1 No 2.87751164216656
2 28 17:53:00 IL 2 0 0 0 4.5 75 1 No 1.5040773967762742
2 28 18:40:00 MO 1 0 0 0 4.36 80 1 No 1.472472057360943
2 28 19:03:00 AR 1 4 0 50000 1.37 120 1 No 0.3148107398400336
2 28 19:07:00 AR 2 1 0 70000 1.1 250 1 No 0.09531017980432493
2 28 19:16:00 MO 0 0 0 0 4.44 50 1 Yes 1.4906543764441336
2 28 19:51:00 MO 4 12 1 14800000 53.47 1100 2 No 3.97912074896064
2 28 19:51:00 MO 4 12 1 8000000 17.39 1100 2 No 2.855895328366192
2 28 20:12:00 IL 3 0 0 6800000 36.08 850 2 No 3.585738695194423
2 28 19:54:00 MI 1 0 0 0 0.57 100 1 No -0.5621189181535413
2 28 19:58:00 MI 1 0 0 0 4.99 100 1 No 1.6074359097634274
2 28 20:12:00 MI 1 0 0 0 2.7 150 1 No 0.9932517730102834
2 28 20:38:00 MI 1 0 0 0 2.04 50 1 No 0.712949807856125
2 28 21:33:00 IL 1 1 0 0 0.66 50 1 No -0.4155154439616658
2 28 21:43:00 IL 1 0 0 0 2.33 50 1 No 0.8458682675776092
2 28 21:55:00 IL 3 2 1 5700000 44.13 440 2 No 3.787139823281456
2 28 21:55:00 IL 3 1 1 2000000 9.56 420 2 No 2.25758772706331
2 28 22:08:00 IN 3 1 0 3700000 34.57 440 2 No 3.5429862539335333
2 28 22:35:00 KY 0 0 0 70000 8.8 30 1 Yes 2.174751721484161
2 28 22:37:00 KS 0 0 0 50000 0.1 75 1 Yes -2.3025850929940455
2 28 22:43:00 KS 0 0 0 10000 0.1 75 1 Yes -2.3025850929940455
2 28 22:44:00 IL 1 0 0 6000 7.36 25 1 No 1.9960599327407849
2 28 23:03:00 IN 2 0 0 350000 5.8 150 1 No 1.7578579175523736
2 28 23:28:00 KY 1 0 0 300000 8.58 400 1 No 2.149433913499871
3 1 0:30:00 MO 0 0 0 25000 1 100 1 Yes 0
3 1 0:35:00 KY 1 0 0 50000 0.78 90 1 No -0.2484613592984996
3 1 1:29:00 AR 1 0 0 20000 0.14 200 1 No -1.9661128563728327
3 1 1:31:00 OH 0 0 0 30000 6.87 250 1 Yes 1.927164106234258
3 1 1:40:00 OH 0 0 0 10000 4.53 100 1 Yes 1.5107219394949427
3 1 2:16:00 AR 1 0 0 30000 1 250 1 No 0
3 1 2:18:00 AR 0 0 0 40000 1.1 50 1 Yes 0.09531017980432493
3 1 2:33:00 AR 1 0 0 20000 3.9 250 1 No 1.3609765531356006
3 1 2:38:00 OH 1 0 0 400000 6.39 150 1 No 1.8547342683894434
3 1 3:13:00 AR 1 0 0 30000 4.24 200 1 No 1.4445632692438664
3 1 3:20:00 AR 1 0 0 100000 1.6 125 1 No 0.4700036292457356
3 1 4:00:00 IN 2 0 0 40000 0.15 30 1 No -1.8971199848858813
3 1 4:05:00 IN 2 0 0 65000 1.52 30 1 No 0.41871033485818504
3 1 4:08:00 IL 0 0 0 2000 4.11 25 1 Yes 1.4134230285081433
3 1 4:10:00 IN 1 0 0 35000 0.04 30 1 No -3.2188758248682006
3 1 4:30:00 IN 1 0 0 22000 0.21 40 1 No -1.5606477482646683
3 1 4:37:00 IN 2 1 0 175000 0.68 25 1 No -0.38566248081198456
3 1 4:40:00 MO 1 0 0 400000 15.21 200 1 No 2.7219531062712017
3 1 4:41:00 IN 1 0 0 150000 5.8 100 1 No 1.7578579175523736
3 1 4:45:00 IN 2 0 0 45000 0.25 50 1 No -1.3862943611198906
3 1 4:51:00 TN 0 0 0 50000 3.71 50 1 Yes 1.3110318766193438
3 1 5:04:00 IN 1 0 0 200000 0.33 20 1 No -1.1086626245216111
3 1 5:05:00 IN 1 10 0 250000 2.15 125 1 No 0.7654678421395714
3 1 5:25:00 KY 2 0 0 170000 1.55 200 1 No 0.4382549309311553
3 1 5:36:00 KY 1 0 0 100000 1.08 200 1 No 0.0769610411361284
3 1 6:03:00 OH 0 0 0 250000 1.05 350 1 Yes 0.04879016416943205
3 1 6:39:00 OH 1 0 0 50000 2.19 150 1 No 0.7839015438284094
3 1 6:57:00 KY 1 0 0 100000 1.57 75 1 No 0.45107561936021673
3 1 7:00:00 TN 1 0 0 7270000 10.48 250 1 No 2.349468678892896
3 1 7:16:00 OH 1 0 0 30000 0.57 125 1 No -0.5621189181535413
3 1 7:17:00 TN 0 0 0 55000 3.15 100 1 Yes 1.1474024528375417
3 1 7:24:00 KY 1 0 0 250000 2.63 125 1 No 0.9669838461896731
3 1 7:37:00 TN 0 0 0 15000 3.32 100 1 Yes 1.199964782928397
3 1 7:40:00 TN 1 0 0 110000 7.17 200 1 No 1.969905654611529
3 1 7:51:00 TN 1 0 0 40000 3.91 200 1 No 1.3635373739972745
3 1 8:04:00 TN 1 0 0 25000 7.62 150 1 No 2.030776369698555
3 1 8:07:00 OH 1 0 0 80000 0.05 300 1 No -2.995732273553991
3 1 8:35:00 TN 1 0 0 10000 0.11 90 1 No -2.2072749131897207
3 1 15:27:00 GA 1 0 0 100000 2.88 150 1 No 1.0577902941478545
3 5 11:55:00 TX 0 0 0 0 0.01 30 1 Yes -4.605170185988091
3 5 12:05:00 TX 0 0 0 0 0.01 20 1 Yes -4.605170185988091
3 6 17:04:00 MN 1 0 0 0 9.32 200 1 No 2.2321626286975
3 6 17:23:00 IA 0 0 0 0 2.38 30 1 Yes 0.8671004876833832
3 6 17:28:00 IA 1 0 0 70000 2.87 50 1 No 1.0543120297715298
3 6 17:35:00 KS 0 0 0 0 0.1 50 1 Yes -2.3025850929940455
3 6 17:36:00 KS 0 0 0 0 16.06 50 1 Yes 2.7763317085186157
3 6 17:37:00 KS 0 0 0 0 0.01 25 1 Yes -4.605170185988091
3 6 17:37:00 KS 0 0 0 0 0.12 50 1 Yes -2.120263536200091
3 6 17:38:00 MN 1 0 0 0 11.9 300 1 No 2.4765384001174837
3 6 17:39:00 MN 1 0 0 0 8.78 300 1 No 2.172476407647025
3 6 17:59:00 KS 0 0 0 0 1.85 50 1 Yes 0.6151856390902335
3 6 18:13:00 KS 0 0 0 0 5.21 50 1 Yes 1.6505798557652755
3 6 18:27:00 IA 0 0 0 125000 17.86 85 1 Yes 2.882563575448353
3 6 18:30:00 MO 0 0 0 0 5.8 25 1 Yes 1.7578579175523736
3 6 18:58:00 IA 1 0 0 25000 6.32 300 1 No 1.843719208158766
3 6 19:05:00 KS 0 0 0 0 0.11 50 1 Yes -2.2072749131897207
3 6 19:19:00 IA 1 0 0 80000 4.83 100 1 No 1.5748464676644813
3 6 19:24:00 MO 2 0 0 0 19.57 1000 1 No 2.9739977814079848
3 6 19:29:00 IA 1 0 0 50000 5.33 120 1 No 1.673351238177753
3 6 19:35:00 IA 1 0 0 20000 6.76 80 1 No 1.9110228900548727
3 6 19:38:00 KS 1 0 0 0 3.05 50 1 No 1.11514159061932
3 6 19:40:00 MO 1 0 0 0 10.34 100 1 No 2.336019869080283
3 6 19:47:00 IA 0 0 0 25000 5.45 65 1 Yes 1.6956156086751528
3 6 19:51:00 KS 0 0 0 0 0.32 100 1 Yes -1.1394342831883648
3 6 20:03:00 MO 0 0 0 0 2.29 25 1 Yes 0.8285518175661483
3 6 20:11:00 MO 3 12 0 0 17.74 400 1 No 2.8758219768814333
3 6 20:16:00 IA 2 0 0 2020000 14.92 250 1 No 2.702702594775615
3 6 20:30:00 IA 1 0 0 40000 8.01 60 1 No 2.080690761080268
3 6 20:33:00 IA 2 0 0 750000 9.66 90 1 No 2.2679936482244267
3 6 20:34:00 MO 1 0 0 0 1.75 50 1 No 0.5596157879354227
3 6 20:40:00 MO 0 0 0 0 5.97 100 1 Yes 1.7867469274045107
3 6 20:40:00 MO 0 0 0 0 17.45 400 1 Yes 2.859339648648436
3 6 20:46:00 WI 1 0 0 290000 2.6 200 1 No 0.9555114450274365
3 6 20:56:00 MO 1 0 0 0 19.81 100 1 No 2.9861868607104594
3 6 21:10:00 MO 0 0 0 0 3.88 25 1 Yes 1.355835153635182
3 6 21:17:00 MO 0 0 0 0 7.79 25 1 Yes 2.052840859882657
3 6 21:40:00 MO 1 1 0 0 18.47 150 1 No 2.9161477942111484
3 6 21:44:00 OK 1 0 0 100000 6.1 650 1 No 1.8082887711792655
3 6 21:50:00 IA 0 0 0 5000 5.7 25 1 Yes 1.7404661748405044
3 6 21:56:00 IA 2 0 0 0 0.31 150 1 No -1.171182981502945
3 6 22:00:00 MO 1 0 0 5000 0.75 100 1 No -0.2876820724517809
3 6 22:05:00 IA 2 3 0 100000 1.78 200 1 No 0.5766133643039938
3 6 22:13:00 IA 2 0 0 52000 25.25 1000 1 No 3.228826155721369
3 6 22:18:00 IA 1 0 0 110000 16.63 100 1 No 2.811208293204836
3 6 22:19:00 IA 2 0 0 0 34.68 200 1 No 3.546163151912341
3 6 22:24:00 MO 1 1 0 100000 2 400 1 No 0.6931471805599453
3 6 22:36:00 MO 0 0 0 100000 0.33 50 1 Yes -1.1086626245216111
3 6 22:40:00 IA 0 0 0 0 4.36 50 1 Yes 1.472472057360943
3 6 22:51:00 AR 1 0 0 40000 6.4 400 1 No 1.8562979903656263
3 6 22:53:00 IL 1 0 0 0 1.54 10 1 No 0.43178241642553783
3 6 23:03:00 MO 1 0 0 0 7.26 75 1 No 1.9823798288367047
3 6 23:17:00 MO 1 0 0 0 20.87 150 1 No 3.0383127210891097
3 6 23:38:00 AR 2 1 0 400000 36.64 700 1 No 3.6011405398059297
3 6 23:51:00 MO 1 3 0 0 3.15 100 1 No 1.1474024528375417
3 6 23:52:00 IL 1 0 0 150000 6.76 150 1 No 1.9110228900548727
3 7 0:00:00 IL 1 0 0 175000 7.38 150 1 No 1.998773638612381
3 7 0:09:00 IL 2 0 0 120000 2.8 200 1 No 1.0296194171811581
3 7 0:14:00 IL 0 0 0 0 0.29 25 1 Yes -1.2378743560016174
3 7 0:29:00 MO 0 0 0 0 2.63 80 1 Yes 0.9669838461896731
3 7 0:39:00 MO 0 0 0 0 1.14 75 1 Yes 0.131028262406404
3 7 0:50:00 IL 1 0 0 0 12.92 100 1 No 2.558776498354456
3 7 1:14:00 IL 1 0 0 0 7.17 100 1 No 1.969905654611529
3 7 2:37:00 AR 0 0 0 60000 0.35 100 1 Yes -1.0498221244986778
3 9 18:25:00 MO 2 0 0 30000 9.64 600 1 No 2.265921108622454
3 9 18:32:00 MO 1 0 0 25000 6.35 100 1 No 1.8484548129046003
3 9 18:42:00 MO 0 0 0 25000 0.1 100 1 Yes -2.3025850929940455
3 9 18:50:00 MO 0 0 0 20000 0.1 75 1 Yes -2.3025850929940455
3 9 19:00:00 MO 0 0 0 0 0.1 100 1 Yes -2.3025850929940455
3 9 19:03:00 MO 1 0 0 75000 2.28 75 1 No 0.8241754429663493
3 9 19:06:00 MO 0 0 0 100000 1.9 100 1 Yes 0.6418538861723947
3 9 19:14:00 MO 1 0 0 500000 2.73 200 1 No 1.0043016091968684
3 9 19:28:00 MO 1 0 0 400000 11.17 250 1 No 2.413231613081109
3 9 20:00:00 MO 0 0 0 20000 0.73 100 1 Yes -0.31471074483970024
3 9 20:10:00 MO 1 0 0 50000 1.14 150 1 No 0.131028262406404
3 9 20:26:00 MO 2 0 0 270000 9.66 250 2 No 2.2679936482244267
3 9 20:26:00 MO 2 0 0 20000 0.93 250 2 No -0.07257069283483537
3 9 20:28:00 KY 1 0 0 250000 8.73 250 2 No 2.166765369851511
3 9 20:41:00 KY 2 0 0 1300000 10.17 250 2 No 2.3194422100604686
3 9 20:41:00 KY 2 0 0 1000000 7.3 250 2 No 1.9878743481543455
3 9 20:51:00 TN 2 0 0 300000 2.87 250 2 No 1.0543120297715298
3 9 21:13:00 KY 1 0 0 75000 5.61 150 1 No 1.724550719534605
3 9 21:54:00 TN 0 0 0 30000 0.96 150 1 Yes -0.040821994520255166
3 9 23:32:00 TN 0 0 0 25000 3.15 100 1 Yes 1.1474024528375417
3 9 23:55:00 TN 1 0 0 0 4.2 320 1 No 1.4350845252893227
3 11 14:47:00 TX 0 0 0 0 0.45 10 1 Yes -0.7985076962177716
3 13 18:03:00 FL 1 0 0 0 0.18 100 1 No -1.7147984280919268
3 13 19:15:00 FL 1 0 0 0 0.13 75 1 No -2.0402208285265546
