Rank "School" "ROI" "Cost" "GradRate" "Years" "Loan"
30 "Massachusetts Maritime Academy(Out-of-State)" 721000 155000 76 4 30700
31 "Maine Maritime Academy(In-State)" 718000 103000 62 4 70200
32 "United States Coast Guard Academy(Service Academy)" 714000 0 87 4 N/A
33 "Dartmouth College(Private)" 707000 265000 97 4 24700
34 "Carnegie Mellon University(Private)" 705000 260000 90 4 32000
35 "New Jersey Institute of Technology(In-State)" 704000 135000 61 5 34400
36 "Rensselaer Polytechnic Institute(Private)" 703000 260000 83 4 40400
37 "California Polytechnic State University-San Luis Obispo(In-State)" 699000 100000 80 5 22500
38 "New Mexico Institute of Mining and Technology(In-State)" 692000 79100 49 5 19400
39 "Missouri University of Science and Technology(Out-of-State)" 691000 149000 64 5 27000
40 "Yale University(Private)" 689000 261000 98 4 21500
41 "Virginia Military Institute(In-State)" 680000 111000 78 6 34400
42 "Lehigh University(Private)" 679000 240000 89 4 37400
43 "Maine Maritime Academy(Out-of-State)" 670000 152000 62 4 70200
44 "University of California-Berkeley(Out-of-State)" 662000 236000 92 4 23900
45 "California Polytechnic State University-San Luis Obispo(Out-of-State)" 654000 145000 80 5 22500
46 "Columbia University in the City of New York(Private)" 653000 272000 94 4 35900
47 "Capitol Technology University(Private)" 651000 144000 51 5 32000
48 "Rice University(Private)" 650000 229000 93 4 29500
49 "Michigan Technological University(In-State)" 649000 109000 67 5 30700
49 "New Jersey Institute of Technology(Out-of-State)" 649000 190000 61 5 34400
51 "Cornell University(Private)" 646000 258000 94 4 32100
52 "New Mexico Institute of Mining and Technology(Out-of-State)" 643000 128000 49 5 19400
53 "University of California-San Diego(In-State)" 642000 125000 87 4 22800
54 "Duke University(Private)" 641000 262000 95 4 24700
55 "Santa Clara University(Private)" 640000 251000 89 4 26400
56 "South Dakota School of Mines and Technology(In-State)" 635000 93500 48 5 29700
57 "Montana Tech of the University of Montana(In-State)" 634000 77400 46 5 21200
58 "University of Virginia-Main Campus(In-State)" 633000 114000 94 4 30100
59 "Cooper Union for the Advancement of Science and Art(Private)" 632000 247000 87 4 33300
60 "Clarkson University(Private)" 626000 244000 71 4 38700
61 "South Dakota School of Mines and Technology(Out-of-State)" 621000 108000 48 5 29700
62 "Georgetown University(Private)" 619000 263000 94 4 26100
63 "Brown University(Private)" 616000 257000 96 4 28700
64 "Washington and Lee University(Private)" 614000 243000 92 4 23600
65 "Milwaukee School of Engineering(Private)" 611000 193000 64 4 31000
66 "University of Washington-Bothell Campus(In-State)" 609000 109000 67 5 23300
67 "Claremont McKenna College(Private)" 604000 262000 93 4 23900
68 "Bentley University(Private)" 598000 240000 89 4 34200
69 "San Jose State University(In-State)" 597000 102000 62 5 22600
69 "Virginia Polytechnic Institute and State University(In-State)" 597000 103000 84 4 34000
69 "Yeshiva University(Private)" 597000 228000 82 4 28100
72 "Brigham Young University-Provo(Private)" 595000 71100 83 6 20000
73 "Manhattan College(Private)" 591000 221000 71 4 31700
74 "SUNY at Binghamton(In-State)" 590000 95600 83 4 29600
74 "Virginia Military Institute(Out-of-State)" 590000 201000 78 6 34400
76 "Michigan Technological University(Out-of-State)" 586000 172000 67 5 30700
77 "University of Illinois at Urbana-Champaign(In-State)" 585000 118000 85 4 27600
78 "MCPHS University(Private)" 583000 196000 78 4 60300
78 "Montana Tech of the University of Montana(Out-of-State)" 583000 129000 46 5 21200
80 "Villanova University(Private)" 581000 248000 90 4 34400
81 "Illinois Institute of Technology(Private)" 577000 236000 71 5 27300
81 "University of Maryland-College Park(In-State)" 577000 99300 86 4 32400
83 "Texas A & M University-College Station(In-State)" 575000 97100 80 5 26600
84 "University of Massachusetts-Lowell(In-State)" 573000 108000 56 5 28900
85 "Oregon Institute of Technology(In-State)" 572000 90000 47 5 25600
86 "University of Notre Dame(Private)" 571000 254000 95 4 24600
87 "Case Western Reserve University(Private)" 568000 242000 82 4 32200
88 "Bucknell University(Private)" 566000 257000 88 4 32700
89 "University of Michigan-Ann Arbor(In-State)" 559000 110000 91 4 27800
89 "Williams College(Private)" 559000 261000 94 4 19800
91 "Purdue University-Main Campus(In-State)" 557000 92300 76 5 31000
92 "University of California-Los Angeles(In-State)" 556000 133000 91 4 25300
93 "University of Washington-Seattle Campus(In-State)" 555000 107000 84 4 24300
94 "Johns Hopkins University(Private)" 552000 258000 92 4 26400
94 "San Jose State University(Out-of-State)" 552000 147000 62 5 22600
96 "California State Polytechnic University-Pomona(In-State)" 551000 98300 69 5 22900
97 "Embry-Riddle Aeronautical University-Daytona Beach(Private)" 549000 194000 55 5 48400
98 "George Mason University(In-State)" 545000 106000 70 4 33400
99 "University of California-San Diego(Out-of-State)" 544000 223000 87 4 22800
100 "Lafayette College(Private)" 543000 251000 89 4 34000
101 "Rutgers University-New Brunswick(In-State)" 542000 121000 80 4 30300
102 "SUNY at Binghamton(Out-of-State)" 540000 146000 83 4 29600
103 "The University of Texas at Austin(In-State)" 539000 104000 81 4 21700
104 "Colgate University(Private)" 538000 255000 90 4 27800
105 "Lawrence Technological University(Private)" 537000 180000 54 5 29500
106 "Wentworth Institute of Technology(Private)" 535000 200000 65 4 40600
107 "Wabash College(Private)" 534000 201000 72 4 28600
108 "Virginia Polytechnic Institute and State University(Out-of-State)" 531000 168000 84 4 34000
109 "Embry-Riddle Aeronautical University-Prescott(Private)" 529000 192000 63 5 51100
109 "Hamilton College(Private)" 529000 251000 92 4 20500
111 "CUNY Bernard M Baruch College(In-State)" 527000 116000 66 5 17300
111 "University of Alaska Fairbanks(In-State)" 527000 70500 25 5 24300
113 "University of Illinois at Urbana-Champaign(Out-of-State)" 525000 178000 85 4 27600
114 "University of Washington-Bothell Campus(Out-of-State)" 522000 196000 67 5 23300
115 "Boston College(Private)" 519000 257000 93 4 16100
116 "University of Alabama in Huntsville(In-State)" 518000 96200 49 5 25000
116 "University of Virginia-Main Campus(Out-of-State)" 518000 229000 94 4 30100
118 "College of William and Mary(In-State)" 516000 129000 91 4 33400
119 "Union College (New York)(Private)" 514000 253000 87 4 31400
120 "Fairfield University(Private)" 513000 243000 82 4 36700
121 "University of California-Irvine(In-State)" 512000 127000 87 4 21900
121 "University of Massachusetts-Lowell(Out-of-State)" 512000 169000 56 5 28900
123 "Florida Institute of Technology(Private)" 510000 223000 58 4 31000
123 "The University of Texas at Dallas(In-State)" 510000 102000 67 4 26300
125 "Oregon Institute of Technology(Out-of-State)" 509000 153000 47 5 25600
125 "Touro College(Private)" 509000 126000 45 4 28000
127 "California State Polytechnic University-Pomona(Out-of-State)" 506000 143000 69 5 22900
128 "University of California-Santa Barbara(In-State)" 505000 139000 82 4 20800
129 "Texas A & M University-College Station(Out-of-State)" 502000 169000 80 5 26600
130 "Swarthmore College(Private)" 501000 254000 94 4 23700
130 "University of Maryland-Baltimore County(In-State)" 501000 103000 64 5 27700
132 "Rutgers University-Newark(In-State)" 500000 122000 66 5 26600
133 "CUNY Bernard M Baruch College(Out-of-State)" 499000 144000 66 5 17300
134 "Drexel University(Private)" 497000 267000 70 5 41500
135 "Vanderbilt University(Private)" 496000 252000 92 4 31600
136 "Stony Brook University(In-State)" 495000 93300 72 4 26600
136 "University of Maryland-College Park(Out-of-State)" 495000 182000 86 4 32400
138 "James Madison University(In-State)" 493000 96200 82 4 30100
138 "University of California-Davis(In-State)" 493000 136000 85 5 21500
138 "West Virginia University Institute of Technology(In-State)" 493000 74700 21 5 25000
141 "University of Delaware(In-State)" 488000 106000 81 4 35700
142 "Loyola University Maryland(Private)" 486000 244000 83 4 35800
143 "Miami University-Oxford(In-State)" 485000 119000 78 4 32100
144 "Purdue University-Main Campus(Out-of-State)" 482000 168000 76 5 31000
144 "Rutgers University-New Brunswick(Out-of-State)" 482000 181000 80 4 30300
146 "Northwestern University(Private)" 481000 267000 94 4 25200
146 "University of Alaska Fairbanks(Out-of-State)" 481000 116000 25 5 24300
148 "Bryant University(Private)" 480000 225000 77 4 50900
148 "University of Connecticut(In-State)" 480000 115000 82 4 30600
150 "University of Houston(In-State)" 479000 94000 51 5 24700
151 "California State University-East Bay(In-State)" 477000 93500 48 5 21700
152 "Wake Forest University(Private)" 476000 254000 88 4 37100
153 "George Washington University(Private)" 475000 257000 84 4 30100
153 "The College of New Jersey(In-State)" 475000 127000 87 4 39700
155 "Fashion Institute of Technology(In-State)" 474000 89000 77 "" 33200
156 "University of Southern California(Private)" 472000 264000 92 4 29800
157 "University of Alabama in Huntsville(Out-of-State)" 471000 143000 49 5 25000
158 "Brigham Young University-Idaho(Private)" 468000 48200 56 6 17700
158 "University of Washington-Seattle Campus(Out-of-State)" 468000 194000 84 4 24300
160 "George Mason University(Out-of-State)" 465000 187000 70 4 33400
160 "North Carolina State University at Raleigh(In-State)" 465000 90600 77 5 25500
160 "Tufts University(Private)" 465000 258000 92 4 28700
163 "Clemson University(In-State)" 461000 114000 81 4 33300
163 "University of Richmond(Private)" 461000 242000 88 4 28600
163 "Washington University in St Louis(Private)" 461000 266000 94 4 26300
166 "University of San Francisco(Private)" 460000 244000 72 4 32000
167 "New York University(Private)" 459000 268000 85 4 32700
167 "Seattle University(Private)" 459000 222000 75 4 29400
169 "University of California-Los Angeles(Out-of-State)" 458000 230000 91 4 25300
170 "Farmingdale State College(In-State)" 457000 92400 49 5 24300
170 "The University of Texas at Arlington(In-State)" 457000 91900 48 5 23200
172 "California State University-Chico(In-State)" 455000 92100 69 5 21900
172 "West Virginia University Institute of Technology(Out-of-State)" 455000 112000 21 5 25000
174 "Northeastern University(Private)" 454000 247000 86 5 25000
175 "Rochester Institute of Technology(Private)" 453000 201000 66 5 32900
176 "Emory University(Private)" 452000 249000 91 4 25800
177 "University of Colorado Boulder(In-State)" 451000 120000 70 4 32100
177 "University of Maryland-Baltimore County(Out-of-State)" 451000 153000 64 5 27700
177 "University of Wisconsin-Platteville(In-State)" 451000 73300 54 5 27400
180 "Citadel Military College of South Carolina(In-State)" 449000 107000 69 4 31600
180 "College of the Holy Cross(Private)" 449000 243000 92 4 25700
180 "University of Minnesota-Twin Cities(In-State)" 449000 104000 78 4 30600
183 "Texas Tech University(In-State)" 446000 89700 60 5 32400
184 "Pennsylvania State University-Main Campus(In-State)" 445000 139000 86 4 38200
184 "The University of Texas at Dallas(Out-of-State)" 445000 167000 67 4 26300
186 "Saint Mary's College of California(Private)" 444000 242000 73 4 32100
186 "Weber State University(In-State)" 444000 74400 32 5 20000
188 "University of Michigan-Ann Arbor(Out-of-State)" 443000 226000 91 4 27800
189 "Felician University(Private)" 442000 189000 41 5 26800
189 "Washington Adventist University(Private)" 442000 131000 38 5 25000
191 "Rutgers University-Newark(Out-of-State)" 440000 182000 66 5 26600
191 "The University of Texas at Austin(Out-of-State)" 440000 203000 81 4 21700
193 "Fashion Institute of Technology(Out-of-State)" 438000 125000 77 "" 33200
193 "Ottawa University-Ottawa(Private)" 438000 156000 31 4 33100
193 "Stony Brook University(Out-of-State)" 438000 151000 72 4 26600
196 "LeTourneau University(Private)" 436000 163000 53 4 27700
197 "Iowa State University(In-State)" 435000 77200 74 5 27600
197 "University of Houston(Out-of-State)" 435000 137000 51 5 24700
197 "University of Utah(In-State)" 435000 89300 65 5 32000
200 "Mount Carmel College of Nursing(Private)" 434000 94500 73 4 29200
200 "University of Massachusetts-Amherst(In-State)" 434000 110000 76 4 30600
202 "California State University-East Bay(Out-of-State)" 433000 138000 48 5 21700
202 "James Madison University(Out-of-State)" 433000 156000 82 4 30100
204 "The College of New Jersey(Out-of-State)" 432000 170000 87 4 39700
205 "University of Arizona(In-State)" 431000 103000 60 4 27400
206 "University of Florida(In-State)" 430000 81600 87 4 24400
207 "College of William and Mary(Out-of-State)" 428000 217000 91 4 33400
208 "CUNY Queens College(In-State)" 424000 107000 60 5 24400
208 "University of Oklahoma-Norman Campus(In-State)" 424000 99900 68 5 31300
210 "San Francisco State University(In-State)" 423000 97900 53 5 21800
210 "University of Wisconsin-Madison(In-State)" 423000 98200 85 4 30300
212 "Louisiana State University and Agricultural & Mechanical College(In-State)" 422000 102000 68 5 26900
213 "Boston University(Private)" 421000 259000 87 4 38600
213 "New York Institute of Technology(Private)" 421000 207000 44 5 24900
215 "Pace University-New York(Private)" 420000 242000 59 4 33600
215 "University of Wisconsin-Platteville(Out-of-State)" 420000 104000 54 5 27400
217 "Haverford College(Private)" 419000 262000 90 4 24800
217 "Miami University-Oxford(Out-of-State)" 419000 185000 78 4 32100
217 "University of Illinois at Chicago(In-State)" 419000 118000 58 5 24500
220 "Farmingdale State College(Out-of-State)" 418000 131000 49 5 24300
220 "University of Cincinnati-Main Campus(In-State)" 418000 111000 67 5 28000
220 "University of Minnesota-Twin Cities(Out-of-State)" 418000 136000 78 4 30600
223 "Michigan State University(In-State)" 417000 103000 78 4 27200
223 "University of the Pacific(Private)" 417000 239000 68 4 30000
225 "The University of Texas at Arlington(Out-of-State)" 416000 133000 48 5 23200
226 "Gonzaga University(Private)" 415000 208000 84 5 31400
226 "University of California-Irvine(Out-of-State)" 415000 224000 87 4 21900
228 "Baptist Memorial College of Health Sciences(Private)" 413000 88700 72 4 21800
228 "North Dakota State University-Main Campus(In-State)" 413000 80400 55 5 35700
228 "University of Delaware(Out-of-State)" 413000 180000 81 4 35700
231 "Pennsylvania State University-Penn State Erie-Behrend College(In-State)" 412000 127000 63 4 35800
231 "San Diego State University(In-State)" 412000 105000 73 5 26000
233 "California State University-Chico(Out-of-State)" 411000 137000 69 5 21900
233 "Marquette University(Private)" 411000 204000 81 4 36500
235 "Texas Tech University(Out-of-State)" 410000 126000 60 5 32400
235 "Utah State University(In-State)" 410000 74000 47 5 23900
235 "Washington State University(In-State)" 410000 111000 67 5 28000
238 "California State University-Sacramento(In-State)" 409000 95700 49 5 20500
238 "Weber State University(Out-of-State)" 409000 110000 32 5 20000
240 "Oregon State University(In-State)" 408000 101000 63 5 26900
240 "University of California-Santa Barbara(Out-of-State)" 408000 236000 82 4 20800
242 "Amherst College(Private)" 406000 261000 93 4 27900
242 "Arizona State University-Tempe(In-State)" 406000 100000 67 4 25900
244 "Saint Johns University(Private)" 405000 205000 79 4 34700
245 "University of Mary Washington(In-State)" 404000 101000 72 4 29600
246 "Brandeis University(Private)" 402000 258000 90 4 25800
246 "Molloy College(Private)" 402000 185000 76 5 27700
246 "North Carolina State University at Raleigh(Out-of-State)" 402000 153000 77 5 25500
249 "California State University-Fresno(In-State)" 401000 80800 57 5 19000
249 "California State University-Long Beach(In-State)" 401000 91400 69 5 21600
249 "Prairie View A & M University(In-State)" 401000 83300 31 5 23600
252 "Hofstra University(Private)" 400000 229000 64 4 42700
252 "Lamar University(In-State)" 400000 85700 33 5 29600
254 "Grove City College(Private)" 399000 105000 81 4 46700
255 "University of Alaska Anchorage(In-State)" 397000 87800 24 5 20700
255 "University of Connecticut(Out-of-State)" 397000 197000 82 4 30600
257 "CUNY Queens College(Out-of-State)" 396000 135000 60 5 24400
257 "Regis University(Private)" 396000 191000 68 4 29600
257 "University of California-Davis(Out-of-State)" 396000 233000 85 5 21500
257 "University of Chicago(Private)" 396000 275000 94 4 43900
261 "Indiana Institute of Technology(Private)" 394000 152000 33 5 36100
261 "University of Dayton(Private)" 394000 211000 75 4 33100
261 "University of Iowa(In-State)" 394000 84400 72 4 29000
261 "University of the Sciences(Private)" 394000 223000 70 4 45100
265 "California State University-Northridge(In-State)" 392000 85400 50 5 18800
265 "Louisiana Tech University(In-State)" 392000 76400 52 4 21800
267 "Pennsylvania State University-Main Campus(Out-of-State)" 391000 193000 86 4 38200
267 "University of Rhode Island(In-State)" 391000 111000 63 4 25600
269 "American University(Private)" 389000 239000 81 4 31700
269 "Catholic University of America(Private)" 389000 233000 70 4 37500
269 "Loyola Marymount University(Private)" 389000 239000 83 4 34500
272 "University at Buffalo(In-State)" 388000 99400 74 4 37000
273 "Clemson University(Out-of-State)" 387000 188000 81 4 33300
274 "California State University-Fullerton(In-State)" 385000 100000 62 5 22400
274 "SUNY at Albany(In-State)" 385000 94700 66 4 29200
274 "Vaughn College of Aeronautics and Technology(Private)" 385000 176000 39 4 11900
274 "West Virginia University(In-State)" 385000 80500 57 5 29400
278 "College of Staten Island CUNY(In-State)" 384000 115000 31 4 21800
278 "Fordham University(Private)" 384000 266000 80 4 34400
278 "Iowa State University(Out-of-State)" 384000 129000 74 5 27600
281 "Pennsylvania State University-Penn State Erie-Behrend College(Out-of-State)" 382000 157000 63 4 35800
281 "University of Rochester(Private)" 382000 258000 85 5 25400
283 "Menlo College(Private)" 381000 223000 53 4 29200
284 "San Francisco State University(Out-of-State)" 379000 143000 53 5 21800
285 "University of Missouri-Columbia(In-State)" 377000 96600 68 5 30300
286 "Auburn University(In-State)" 376000 115000 75 5 32200
286 "University of Pittsburgh-Pittsburgh Campus(In-State)" 376000 130000 81 4 40100
288 "University of Washington-Tacoma Campus(In-State)" 375000 109000 60 4 19400
289 "New Mexico State University-Main Campus(In-State)" 374000 75600 45 5 19700
289 "Ohio State University-Main Campus(In-State)" 374000 103000 84 4 28900
289 "University of Arkansas(In-State)" 374000 93100 64 4 28700
289 "University of California-Riverside(In-State)" 374000 133000 73 5 22600
289 "University of Kansas(In-State)" 374000 95700 63 4 26700
289 "University of North Carolina at Chapel Hill(In-State)" 374000 98900 91 4 26700
295 "Stonehill College(Private)" 373000 220000 80 4 32800
296 "Iona College(Private)" 372000 207000 68 4 33800
297 "University of Oklahoma-Norman Campus(Out-of-State)" 371000 153000 68 5 31300
298 "Alaska Pacific University(Private)" 370000 139000 48 4 32000
298 "DePaul University(Private)" 370000 207000 73 4 27500
298 "University of Massachusetts-Amherst(Out-of-State)" 370000 174000 76 4 30600
301 "Citadel Military College of South Carolina(Out-of-State)" 369000 187000 69 4 31600
301 "Montana State University(In-State)" 369000 79800 53 5 26900
301 "Tennessee Technological University(In-State)" 369000 96900 51 5 20600
301 "University of Georgia(In-State)" 369000 96100 85 4 23700
301 "University of Illinois at Chicago(Out-of-State)" 369000 169000 58 5 24500
306 "Indiana University-Bloomington(In-State)" 368000 97600 76 4 30400
306 "North Dakota State University-Main Campus(Out-of-State)" 368000 125000 55 5 35700
306 "Syracuse University(Private)" 368000 241000 82 4 37300
306 "University of Idaho(In-State)" 368000 80200 56 5 28000
310 "San Diego State University(Out-of-State)" 367000 150000 73 5 26000
310 "University of California-Santa Cruz(In-State)" 367000 138000 77 4 23400
312 "Bowdoin College(Private)" 366000 251000 94 4 32200
312 "Central Connecticut State University(In-State)" 366000 97300 54 5 27100
312 "Pomona College(Private)" 366000 255000 97 4 23800
312 "University of Utah(Out-of-State)" 366000 159000 65 5 32000
316 "California State University-Sacramento(Out-of-State)" 365000 140000 49 5 20500
317 "Colorado State University-Fort Collins(In-State)" 364000 95300 67 5 26900
317 "Gettysburg College(Private)" 364000 246000 87 4 22200
317 "Lamar University(Out-of-State)" 364000 122000 33 5 29600
320 "Nebraska Methodist College of Nursing & Allied Health(Private)" 363000 111000 59 4 32500
320 "Pennsylvania State University-Penn State Harrisburg(In-State)" 363000 127000 63 5 35900
320 "University of Nevada-Reno(In-State)" 363000 91500 54 5 24400
320 "University of Redlands(Private)" 363000 247000 74 4 33300
324 "CUNY City College(In-State)" 362000 111000 47 5 19800
324 "Thomas More College(Private)" 362000 157000 51 4 28900
324 "University of North Carolina at Charlotte(In-State)" 362000 82300 57 5 27200
327 "California College of the Arts(Private)" 361000 237000 60 4 31100
327 "Fairleigh Dickinson University-College at Florham(Private)" 361000 223000 53 4 39900
327 "University of North Dakota(In-State)" 361000 82700 55 5 38000
327 "Utah State University(Out-of-State)" 361000 123000 47 5 23900
331 "Texas A & M University-Kingsville(In-State)" 360000 86100 29 5 27100
331 "University of Colorado Boulder(Out-of-State)" 360000 210000 70 4 32100
331 "University of Wyoming(In-State)" 360000 75600 55 5 28000
334 "University of Nebraska-Lincoln(In-State)" 359000 92700 67 5 24500
335 "Central Washington University(In-State)" 358000 90500 52 5 22700
335 "Middlebury College(Private)" 358000 250000 93 4 25400
337 "California State University-Fresno(Out-of-State)" 357000 125000 57 5 19000
337 "Sonoma State University(In-State)" 357000 96800 61 5 22900
337 "University of Cincinnati-Main Campus(Out-of-State)" 357000 172000 67 5 28000
337 "University of St Thomas (Minnesota)(Private)" 357000 203000 76 4 43700
337 "University of Wisconsin-Eau Claire(In-State)" 357000 77200 68 5 29200
342 "California State University-Long Beach(Out-of-State)" 356000 136000 69 5 21600
342 "College of Staten Island CUNY(Out-of-State)" 356000 143000 31 4 21800
342 "Seton Hall University(Private)" 356000 211000 64 4 40200
342 "Washington State University(Out-of-State)" 356000 165000 67 5 28000
346 "Prairie View A & M University(Out-of-State)" 355000 129000 31 5 23600
347 "University of San Diego(Private)" 354000 243000 78 4 29300
348 "Bates College(Private)" 353000 255000 88 4 33200
348 "SUNY Polytechnic Institute(In-State)" 353000 93900 44 4 25800
348 "St John's University-New York(Private)" 353000 230000 58 5 29800
348 "Tulane University of Louisiana(Private)" 353000 256000 83 4 37800
348 "University of Tulsa(Private)" 353000 217000 73 4 36500
353 "Louisiana State University and Agricultural & Mechanical College(Out-of-State)" 352000 172000 68 5 26900
353 "Trinity University(Private)" 352000 207000 77 4 36800
353 "University of Alaska Anchorage(Out-of-State)" 352000 133000 24 5 20700
356 "California State University-Stanislaus(In-State)" 351000 82600 57 5 19100
356 "University of Arizona(Out-of-State)" 351000 183000 60 4 27400
356 "University of Massachusetts-Dartmouth(In-State)" 351000 107000 48 5 27300
356 "Western Washington University(In-State)" 351000 91800 69 5 24000
360 "Providence College(Private)" 350000 240000 83 4 45800
360 "University of Houston-Victoria(In-State)" 350000 75800 18 5 20600
362 "Kansas State University(In-State)" 349000 89900 63 5 25900
362 "Oklahoma State University-Main Campus(In-State)" 349000 89000 63 5 23900
362 "University of Mary Washington(Out-of-State)" 349000 156000 72 4 29600
362 "University of Wisconsin-Madison(Out-of-State)" 349000 172000 85 4 30300
366 "Franklin and Marshall College(Private)" 348000 258000 87 4 22400
367 "California State University-Northridge(Out-of-State)" 347000 130000 50 5 18800
368 "Arizona State University-Tempe(Out-of-State)" 346000 160000 67 4 25900
368 "Montclair State University(In-State)" 346000 115000 65 5 31600
370 "Western Connecticut State University(In-State)" 345000 97600 46 5 24400
371 "CUNY Hunter College(In-State)" 344000 83900 53 5 22600
371 "La Salle University(Private)" 344000 219000 65 4 34800
371 "Lake Forest College(Private)" 344000 218000 70 4 28400
371 "Oakland University(In-State)" 344000 91700 47 5 22300
371 "Park University(Private)" 344000 97800 38 "" 21300
376 "Bradley University(Private)" 343000 176000 74 4 30300
376 "Pepperdine University(Private)" 343000 259000 87 4 37300
376 "University of New Hampshire-Main Campus(In-State)" 343000 125000 78 4 40700
376 "University of Vermont(In-State)" 343000 122000 74 4 33900
380 "SUNY College at Old Westbury(In-State)" 342000 87100 43 5 21400
381 "Southern Methodist University(Private)" 341000 262000 79 4 34400
382 "California State University-Fullerton(Out-of-State)" 340000 145000 62 5 22400
382 "University of Florida(Out-of-State)" 340000 171000 87 4 24400
384 "Bowie State University(In-State)" 339000 84300 37 5 26500
384 "Colby College(Private)" 339000 249000 89 4 25200
384 "Florida International University(In-State)" 339000 92800 56 5 23800
387 "Oregon State University(Out-of-State)" 338000 170000 63 5 26900
387 "Wagner College(Private)" 338000 229000 67 4 39700
389 "Saint Joseph's University(Private)" 337000 231000 80 4 40100
390 "Northern Illinois University(In-State)" 336000 115000 47 5 29700
390 "The University of Texas at El Paso(In-State)" 336000 86000 39 5 17600
390 "Trinity College(Private)" 336000 262000 85 4 25100
393 "California State University-San Marcos(In-State)" 335000 96300 52 5 22000
393 "Ramapo College of New Jersey(In-State)" 335000 119000 73 4 36100
393 "Rockhurst University(Private)" 335000 193000 72 4 30400
393 "SUNY at Albany(Out-of-State)" 335000 145000 66 4 29200
393 "University of Nevada-Las Vegas(In-State)" 335000 89700 41 5 22200
398 "CUNY City College(Out-of-State)" 334000 138000 47 5 19800
398 "Eastern Nazarene College(Private)" 334000 165000 46 4 29900
398 "Marist College(Private)" 334000 202000 83 4 32900
398 "University of Pittsburgh-Pittsburgh Campus(Out-of-State)" 334000 172000 81 4 40100
402 "Notre Dame de Namur University(Private)" 333000 204000 50 4 26600
402 "Pennsylvania State University-Penn State Harrisburg(Out-of-State)" 333000 157000 63 5 35900
404 "DePauw University(Private)" 332000 229000 85 4 24200
404 "Ferris State University(In-State)" 332000 89600 43 5 30600
404 "Louisiana Tech University(Out-of-State)" 332000 136000 52 4 21800
407 "Oglethorpe University(Private)" 331000 196000 47 4 28900
407 "Sacred Heart University(Private)" 331000 220000 60 4 44200
407 "West Virginia University(Out-of-State)" 331000 135000 57 5 29400
410 "SUNY College of Technology at Alfred(In-State)" 330000 95200 48 4 31200
410 "University at Buffalo(Out-of-State)" 330000 157000 74 4 37000
412 "Western New England University(Private)" 329000 200000 62 4 41100
413 "California State University-Los Angeles(In-State)" 328000 93100 46 6 15200
413 "Laguna College of Art and Design(Private)" 328000 181000 46 5 28800
413 "Michigan State University(Out-of-State)" 328000 193000 78 4 27200
413 "Old Dominion University(In-State)" 328000 94000 51 5 33000
413 "University of Rhode Island(Out-of-State)" 328000 174000 63 4 25600
418 "Towson University(In-State)" 327000 96900 71 5 28400
418 "University of Scranton(Private)" 327000 229000 79 4 34500
418 "University of Wisconsin-Eau Claire(Out-of-State)" 327000 107000 68 5 29200
418 "Walla Walla University(Private)" 327000 148000 54 5 27400
422 "North Carolina A & T State University(In-State)" 325000 70000 43 5 25200
422 "Vermont Technical College(In-State)" 325000 102000 48 4 39000
424 "Cardinal Stritch University(Private)" 324000 162000 46 5 28700
424 "Hampden-Sydney College(Private)" 324000 223000 66 4 36400
424 "Ohio University-Main Campus(In-State)" 324000 102000 64 4 33000
427 "Texas Christian University(Private)" 323000 223000 77 4 52700
