"Trip.Seconds" Fare "Payment.Type"
374 6.5 Cash
360 5.75 "Credit Card"
1560 44.75 "Credit Card"
1320 17.75 Cash
1260 29 "Credit Card"
660 15.25 "Credit Card"
420 6.5 "Credit Card"
540 8.25 Cash
355 7 "Credit Card"
789 12.25 "Credit Card"
1080 15.25 "Credit Card"
540 8 "Credit Card"
540 10.75 Cash
60 3.5 Cash
300 5.5 Cash
480 8.5 "Credit Card"
120 4 Cash
566 13.5 Cash
660 18.75 Cash
360 6.75 "Credit Card"
840 16.5 "Credit Card"
1740 47.25 Cash
480 9 Cash
1800 46.75 "Credit Card"
540 8.5 Cash
1260 42.5 "Credit Card"
1740 36 "Credit Card"
781 22.25 Cash
1740 44.25 "Credit Card"
211 5.5 "Credit Card"
360 7.75 "Credit Card"
480 8.25 "Credit Card"
360 6.5 Cash
660 16.75 "Credit Card"
540 8.5 "Credit Card"
622 11 Cash
724 17.5 "Credit Card"
240 5.75 Cash
420 10.75 "Credit Card"
120 5 "Credit Card"
240 6.25 "Credit Card"
480 7 Cash
780 14 "Credit Card"
720 11 "Credit Card"
960 19 Cash
1190 19.5 "Credit Card"
660 14.5 "Credit Card"
180 5 Cash
1380 43 "Credit Card"
180 4.75 Cash
555 9 "Credit Card"
243 5.5 "Credit Card"
660 12.25 "Credit Card"
1140 18.25 Cash
360 5.5 Cash
2005 47.25 Cash
660 11.25 Cash
1380 38.75 Cash
1140 26.25 "Credit Card"
180 5 Cash
360 6 Cash
2636 19.75 Cash
360 11 "Credit Card"
1560 45 "Credit Card"
300 5.75 Cash
180 4.75 "Credit Card"
240 4.5 Cash
180 4.25 Cash
780 14.25 Cash
840 12.25 "Credit Card"
360 6.75 Cash
660 11 "Credit Card"
420 9.75 Cash
300 8.5 "Credit Card"
240 6 Cash
960 14.25 "Credit Card"
1414 42.75 "Credit Card"
300 6 Cash
1260 42.5 "Credit Card"
1260 42.25 "Credit Card"
180 5.25 "Credit Card"
366 7 Cash
470 9.25 Cash
900 13 "Credit Card"
180 5.25 "Credit Card"
1260 39.25 "Credit Card"
1440 43.5 "Credit Card"
2100 47.25 "Credit Card"
103 4.5 Cash
240 5.25 "Credit Card"
1320 31.5 "Credit Card"
420 10.75 "Credit Card"
600 9.25 Cash
240 6.5 Cash
420 6.75 "Credit Card"
360 6.25 "Credit Card"
240 5 Cash
737 16.75 "Credit Card"
300 6.25 Cash
240 5.25 Cash
1200 33 "Credit Card"
360 6.25 "Credit Card"
240 5.75 Cash
1649 44.5 "Credit Card"
360 10.5 "Credit Card"
1680 39.75 "Credit Card"
720 11.25 "Credit Card"
300 6.75 Cash
660 10.25 Cash
1444 25.25 "Credit Card"
1500 43.75 "Credit Card"
240 5.75 "Credit Card"
1320 20.25 "Credit Card"
180 5.75 Cash
1260 22.75 "Credit Card"
1140 37.25 "Credit Card"
694 11.75 Cash
240 5.25 "Credit Card"
1380 36.5 "Credit Card"
600 11.75 Cash
1200 41 "Credit Card"
1620 47.5 Cash
1380 42.25 "Credit Card"
240 5.5 Cash
600 14.5 "Credit Card"
1506 43.25 "Credit Card"
1440 43.5 "Credit Card"
180 6 Cash
420 7.25 "Credit Card"
420 7 "Credit Card"
2025 58 Cash
840 10.25 Cash
1320 33.5 Cash
360 7.25 "Credit Card"
900 12.75 Cash
900 17.25 Cash
480 7 Cash
1560 43.25 "Credit Card"
540 9.5 "Credit Card"
420 8.25 "Credit Card"
360 6.75 Cash
1500 43.5 "Credit Card"
780 16.25 Cash
660 10.75 "Credit Card"
1620 37.25 "Credit Card"
480 8.5 "Credit Card"
1260 19.25 Cash
240 4.75 Cash
480 13 "Credit Card"
1200 42 "Credit Card"
1680 44 "Credit Card"
480 8.25 "Credit Card"
480 11 "Credit Card"
720 11 Cash
360 6.5 Cash
900 28.5 "Credit Card"
360 6.75 Cash
240 5.5 Cash
1380 43.25 "Credit Card"
600 7.25 "Credit Card"
480 9 Cash
261 5.25 "Credit Card"
1440 18.25 Cash
303 6 "Credit Card"
540 12.5 Cash
626 16.75 Cash
360 7.25 Cash
139 4.5 "Credit Card"
840 14.75 Cash
300 7 Cash
720 13.5 "Credit Card"
480 7.75 "Credit Card"
180 4.5 Cash
120 5 "Credit Card"
190 4.5 Cash
1680 37.5 "Credit Card"
480 8.25 Cash
701 16.25 "Credit Card"
360 6.25 Cash
1612 35 "Credit Card"
300 6.25 Cash
300 5.75 Cash
480 8 Cash
480 7.25 Cash
900 14.5 Cash
1380 31.75 "Credit Card"
900 21.25 Cash
300 6.25 "Credit Card"
300 6 "Credit Card"
300 6.75 "Credit Card"
540 8.75 "Credit Card"
600 8.25 "Credit Card"
180 5 "Credit Card"
1680 24.25 "Credit Card"
240 5.5 "Credit Card"
300 5.75 Cash
420 9.25 "Credit Card"
360 6.25 Cash
552 17.25 "Credit Card"
480 7.75 "Credit Card"
300 5.5 "Credit Card"
600 13.5 "Credit Card"
480 11.75 "Credit Card"
360 13 "Credit Card"
900 14.75 Cash
1620 45.25 "Credit Card"
300 5.75 "Credit Card"
660 8.25 Cash
600 14 Cash
1500 22.75 "Credit Card"
780 11.75 "Credit Card"
360 6.75 Cash
240 5.5 Cash
29 3.25 Cash
20520 118 Cash
60 3.75 Cash
180 5 "Credit Card"
840 25.25 Cash
1697 44.25 "Credit Card"
676 11.5 Cash
780 18.75 Cash
780 10 Cash
583 13.25 "Credit Card"
395 7.25 Cash
900 14.5 Cash
60 4.25 Cash
360 7 "Credit Card"
780 21.5 Cash
420 7 Cash
495 11 Cash
487 8.75 "Credit Card"
720 15.75 "Credit Card"
420 11.25 "Credit Card"
1200 34.25 "Credit Card"
1680 34 "Credit Card"
1080 32 "Credit Card"
180 5.25 Cash
60 3.5 Cash
720 11.5 "Credit Card"
1560 48.25 Cash
660 9.25 "Credit Card"
233 5 Cash
600 8.25 "Credit Card"
720 8.25 "Credit Card"
1140 26.75 Cash
600 12.5 "Credit Card"
1080 15.75 Cash
180 5 Cash
300 6.25 Cash
420 9 Cash
584 9.5 "Credit Card"
660 11.25 Cash
300 7 "Credit Card"
300 6.5 "Credit Card"
1140 36.25 Cash
440 6.5 "Credit Card"
960 21 "Credit Card"
1402 42.75 "Credit Card"
1080 30 Cash
660 10.5 "Credit Card"
780 12 "Credit Card"
371 6.5 "Credit Card"
360 9.25 Cash
1620 47.5 "Credit Card"
371 6.25 "Credit Card"
1440 43.5 "Credit Card"
1585 46.5 Cash
300 5.75 Cash
1 3.25 Cash
180 5.75 Cash
1860 45.75 "Credit Card"
751 18.5 Cash
480 7.5 Cash
420 10.5 "Credit Card"
240 5 Cash
600 9.25 "Credit Card"
360 7 "Credit Card"
360 6.75 Cash
540 13 Cash
420 6.75 "Credit Card"
1380 43 "Credit Card"
360 6.25 "Credit Card"
1380 29.75 "Credit Card"
540 8.75 "Credit Card"
1500 34 "Credit Card"
1320 42.75 "Credit Card"
1260 30.75 Cash
1560 43.25 "Credit Card"
1980 27.5 "Credit Card"
475 8.75 "Credit Card"
1440 17.25 Cash
1860 16.5 Cash
1680 46.25 "Credit Card"
443 7.5 "Credit Card"
480 8 Cash
360 9.75 "Credit Card"
480 10 "Credit Card"
180 4.75 Cash
540 9.25 Cash
360 7.25 Cash
1320 28.25 Cash
300 6.25 "Credit Card"
720 9.5 Cash
5206 7 Cash
660 12.5 Cash
734 10.25 "Credit Card"
960 13.75 "Credit Card"
420 7.5 Cash
480 7.25 "Credit Card"
1380 44.25 "Credit Card"
120 4.5 Cash
660 12 Cash
600 22.5 Cash
1380 41.75 "Credit Card"
420 8 Cash
840 12.75 Cash
480 7.75 Cash
1756 46.5 Cash
473 7.5 "Credit Card"
420 11.75 "Credit Card"
1731 44.25 "Credit Card"
480 13.75 "Credit Card"
900 15 "Credit Card"
1260 24 "Credit Card"
591 12.25 "Credit Card"
360 7.25 "Credit Card"
1020 15 "Credit Card"
360 6.5 "Credit Card"
1476 34.75 "Credit Card"
420 7.25 Cash
300 6 "Credit Card"
1780 39.75 Cash
480 7 "Credit Card"
660 11 Cash
960 13.25 Cash
300 6.25 Cash
480 7.25 Cash
480 6.75 Cash
720 16.25 Cash
360 6.75 "Credit Card"
660 15.75 Cash
2880 75.75 "Credit Card"
540 11.5 "Credit Card"
480 8.25 "Credit Card"
540 9.25 Cash
1380 43 "Credit Card"
1440 25 Cash
300 5.75 Cash
1260 19.75 Cash
540 8.25 Cash
240 5 "Credit Card"
960 20.75 "Credit Card"
1260 42 "Credit Card"
120 4.5 "Credit Card"
120 4.25 Cash
360 6.5 Cash
660 8.5 Cash
960 14.25 "Credit Card"
158 5.5 Cash
240 6.25 Cash
540 7.75 "Credit Card"
324 6.75 "Credit Card"
960 19 "Credit Card"
120 4.5 Cash
180 4.75 Cash
1150 33 "Credit Card"
960 13.5 Cash
360 6.25 Cash
480 6.5 Cash
180 5.5 Cash
780 12.5 "Credit Card"
420 8.5 Cash
1620 36.75 "Credit Card"
620 10.25 "Credit Card"
240 5.5 Cash
840 11.75 "Credit Card"
480 8 Cash
780 21 "Credit Card"
1276 37.5 "Credit Card"
420 7.5 Cash
1800 44.5 "Credit Card"
1208 32.5 "Credit Card"
620 10 Cash
720 12.5 "Credit Card"
1320 42.5 Cash
900 28.25 Cash
360 5.75 "Credit Card"
780 16.25 "Credit Card"
420 9 "Credit Card"
360 6.5 "Credit Card"
480 7.75 "Credit Card"
198 5.5 "Credit Card"
885 12.75 "Credit Card"
420 8.5 "Credit Card"
1500 46.75 "Credit Card"
480 7.5 Cash
780 17.25 Cash
1856 36 Cash
2040 31 "Credit Card"
720 6.75 Cash
780 11 Cash
1380 35.25 "Credit Card"
1260 20.75 Cash
960 18.75 "Credit Card"
960 17.5 "Credit Card"
360 7 "Credit Card"
540 8.75 Cash
780 16.5 Cash
780 13.5 Cash
388 8 "Credit Card"
240 6.25 "Credit Card"
300 6.5 "Credit Card"
720 15.75 "Credit Card"
1440 45.25 "Credit Card"
1320 18 Cash
180 5.25 Cash
2580 49.75 "Credit Card"
146 5.25 "Credit Card"
840 17 Cash
1500 43.5 "Credit Card"
780 14.25 "Credit Card"
560 13 Cash
120 4.25 Cash
780 10.75 Cash
1080 39 "Credit Card"
240 5 Cash
1125 35.75 Cash
840 10 "Credit Card"
600 12.25 Cash
720 14.5 "Credit Card"
516 9 "Credit Card"
60 3.25 Cash
540 11.75 Cash
2460 25.5 Cash
360 6.25 Cash
240 5.5 "Credit Card"
480 7.25 "Credit Card"
360 6 "Credit Card"
359 6.25 Cash
379 7.25 "Credit Card"
420 7.5 Cash
480 11.25 "Credit Card"
840 18.25 "Credit Card"
271 6 "Credit Card"
1200 15.5 Cash
1320 43.75 "Credit Card"
480 11.75 Cash
2220 42.25 "Credit Card"
540 8.5 "Credit Card"
1020 20 "Credit Card"
240 5.25 "Credit Card"
240 13.75 Cash
480 7.25 "Credit Card"
629 11.5 Cash
2400 69.5 "Credit Card"
840 12.5 "Credit Card"
1320 45.5 "Credit Card"
1380 42.25 "Credit Card"
600 14 "Credit Card"
240 4.75 "Credit Card"
1500 30.25 "Credit Card"
923 17.5 Cash
240 5.75 Cash
300 5.75 Cash
420 6.25 "Credit Card"
660 14 "Credit Card"
255 5.5 "Credit Card"
780 14 Cash
840 12.75 "Credit Card"
960 13.5 "Credit Card"
960 12.75 Cash
420 7.75 "Credit Card"
1380 43 "Credit Card"
180 5.75 Cash
372 6.75 Cash
240 5.75 "Credit Card"
420 6.5 Cash
300 6.25 "Credit Card"
360 6.5 Cash
1260 43.5 "Credit Card"
360 6.25 Cash
540 10.75 Cash
120 4.75 Cash
269 6.75 Cash
1080 40.5 Cash
165 5 "Credit Card"
180 5 "Credit Card"
1680 44.75 "Credit Card"
2940 63 Cash
180 5 "Credit Card"
720 11 Cash
1894 35.5 "Credit Card"
780 13.75 "Credit Card"
360 7.25 "Credit Card"
660 9.5 "Credit Card"
1590 44.25 "Credit Card"
1500 44 "Credit Card"
480 8.5 Cash
660 18.75 "Credit Card"
360 6.25 "Credit Card"
240 5.5 Cash
240 5.75 Cash
180 4.75 Cash
420 9.75 Cash
300 6.5 "Credit Card"
300 6 "Credit Card"
840 11.5 "Credit Card"
300 5.25 Cash
300 5.75 "Credit Card"
1560 33.25 "Credit Card"
360 7.25 Cash
600 8.75 "Credit Card"
1380 43.5 "Credit Card"
540 15.25 "Credit Card"
1500 18.25 Cash
180 5 Cash
264 6 "Credit Card"
600 10.75 "Credit Card"
720 11.5 Cash
1343 38.25 "Credit Card"
300 5.75 Cash
250 5 Cash
1380 37.5 "Credit Card"
720 11.5 "Credit Card"
600 10.25 "Credit Card"
600 10.25 "Credit Card"
480 6.5 Cash
300 6.75 Cash
480 7.25 Cash
540 8 Cash
780 15.25 Cash
180 5 Cash
300 6 "Credit Card"
417 7.5 "Credit Card"
300 8.75 Cash
420 11 Cash
360 7.25 Cash
180 5 Cash
360 5.5 Cash
480 8.75 "Credit Card"
540 7.5 Cash
540 9 "Credit Card"
420 8 "Credit Card"
1320 35.75 "Credit Card"
360 8.5 Cash
780 10.75 "Credit Card"
120 3.75 Cash
600 12.75 Cash
360 5.5 Cash
1320 42.25 "Credit Card"
540 8.25 "Credit Card"
703 10.5 Cash
900 22.5 Cash
60 3.5 Cash
180 5.25 Cash
1200 43.25 "Credit Card"
1020 17.5 "Credit Card"
960 14.5 "Credit Card"
655 15 Cash
2616 42.5 Cash
240 5.25 "Credit Card"
420 7.25 "Credit Card"
1620 18 Cash
1500 32 "Credit Card"
180 5.25 "Credit Card"
540 11.25 Cash
595 9.25 Cash
840 12.5 "Credit Card"
600 10 Cash
960 20 "Credit Card"
1582 45.25 Cash
1500 44.5 "Credit Card"
1440 44.5 Cash
1380 41.75 Cash
1380 36.75 Cash
240 5.25 Cash
1740 44.5 "Credit Card"
300 5.75 "Credit Card"
180 5 "Credit Card"
300 5.75 "Credit Card"
480 7.75 Cash
364 6.5 Cash
1140 23.5 "Credit Card"
180 4.75 Cash
481 7.25 "Credit Card"
480 7.75 "Credit Card"
297 6.5 "Credit Card"
240 5.5 Cash
360 5.25 Cash
451 10 Cash
780 10.75 Cash
480 11 Cash
600 9 "Credit Card"
180 5 Cash
1093 32 "Credit Card"
360 6.25 "Credit Card"
660 11.25 Cash
480 7.5 Cash
1320 30.75 "Credit Card"
300 5.5 "Credit Card"
540 12.75 Cash
858 21.25 "Credit Card"
1320 38.75 Cash
1140 42 Cash
480 8 "Credit Card"
1370 43.5 "Credit Card"
480 9.5 "Credit Card"
720 9.25 "Credit Card"
221 5.5 Cash
480 8.25 "Credit Card"
360 6 "Credit Card"
900 16.75 "Credit Card"
360 7 Cash
180 4.5 Cash
540 9.75 Cash
1440 44.25 "Credit Card"
300 5.5 Cash
600 8.25 "Credit Card"
300 5.5 Cash
360 6.75 "Credit Card"
1440 31.75 "Credit Card"
600 8.75 Cash
180 5.5 Cash
480 6.25 "Credit Card"
720 11.25 "Credit Card"
780 15.5 "Credit Card"
300 5.75 "Credit Card"
420 11.25 Cash
300 5.5 Cash
360 5.75 Cash
420 7 "Credit Card"
780 15.5 Cash
540 7.75 "Credit Card"
780 14.5 Cash
720 13.25 "Credit Card"
780 16.25 Cash
420 7.25 Cash
797 15.75 "Credit Card"
1500 41.75 Cash
660 17.25 "Credit Card"
360 6 "Credit Card"
420 10.5 "Credit Card"
600 9.75 Cash
60 3.25 Cash
240 5.5 Cash
360 5.75 Cash
660 9 Cash
120 4.25 Cash
1140 21.5 "Credit Card"
900 13.25 "Credit Card"
600 16.25 "Credit Card"
480 10 "Credit Card"
277 5.75 Cash
641 14.25 "Credit Card"
180 5.25 Cash
420 7 "Credit Card"
540 10.75 Cash
660 13.5 "Credit Card"
1320 35.75 "Credit Card"
600 9 "Credit Card"
300 8.5 Cash
900 18 "Credit Card"
60 3.5 Cash
420 10 Cash
180 5.25 "Credit Card"
660 13.75 Cash
421 6.75 Cash
360 6.5 "Credit Card"
360 6 Cash
1380 33.75 Cash
420 7 "Credit Card"
840 15.5 Cash
900 13 "Credit Card"
697 15.75 "Credit Card"
960 17.25 "Credit Card"
1380 43.5 "Credit Card"
360 6.25 Cash
360 6.25 "Credit Card"
1860 38.5 Cash
300 5.5 "Credit Card"
540 12.25 "Credit Card"
300 6.25 Cash
420 11.25 Cash
431 7.25 Cash
600 14 Cash
600 13.5 Cash
301 5.5 "Credit Card"
480 7.5 Cash
720 9.5 Cash
360 6.75 Cash
840 11.75 "Credit Card"
420 7 Cash
600 9.25 Cash
780 11 "Credit Card"
300 6.25 Cash
540 7.5 Cash
1200 31.5 "Credit Card"
360 8 Cash
1140 23 Cash
360 6.25 Cash
540 7.75 Cash
298 6 Cash
300 6.75 Cash
1500 23 Cash
1440 44.5 "Credit Card"
540 6.25 Cash
888 15.5 Cash
360 6.25 Cash
1498 33 Cash
420 7.5 Cash
480 7 Cash
1200 34.25 "Credit Card"
840 12.5 "Credit Card"
403 7.5 "Credit Card"
1098 20 Cash
660 10 Cash
360 6 "Credit Card"
180 4.5 Cash
420 6.75 "Credit Card"
1140 21 "Credit Card"
360 6.25 "Credit Card"
540 8.5 Cash
480 8 Cash
480 12 "Credit Card"
1980 27.75 "Credit Card"
480 7.25 Cash
300 7.75 "Credit Card"
420 6.25 "Credit Card"
300 5.75 "Credit Card"
1020 13.5 Cash
960 24.5 Cash
480 7.5 "Credit Card"
483 8.75 "Credit Card"
1200 20.5 "Credit Card"
300 5.5 "Credit Card"
240 5.25 "Credit Card"
1800 24 Cash
240 4.75 Cash
300 6.75 "Credit Card"
240 5.5 Cash
776 18 Cash
300 5.75 "Credit Card"
386 6 Cash
2400 48.5 Cash
300 6 Cash
1680 46 Cash
840 15.25 "Credit Card"
1300 46.5 "Credit Card"
360 9.25 "Credit Card"
480 6 Cash
600 10.75 Cash
600 7.5 Cash
420 6.75 "Credit Card"
540 7.5 Cash
720 16.5 "Credit Card"
420 7.25 "Credit Card"
780 9.75 Cash
408 8.25 Cash
300 6 "Credit Card"
180 4.75 Cash
1980 32.5 Cash
720 10.25 Cash
1380 42.75 "Credit Card"
180 5 Cash
541 11.25 Cash
240 5.25 Cash
840 13.5 "Credit Card"
300 5.5 Cash
420 6.75 Cash
360 6.75 Cash
900 17.75 "Credit Card"
840 12.25 Cash
420 7 Cash
600 13.75 Cash
360 5.75 Cash
180 5 "Credit Card"
540 15 "Credit Card"
780 9 Cash
473 10.25 Cash
1380 44.5 "Credit Card"
300 7 Cash
780 17.25 Cash
540 10 "Credit Card"
720 10.75 "Credit Card"
1620 44 Cash
1440 46 "Credit Card"
420 6.75 "Credit Card"
600 10 "Credit Card"
192 4.75 "Credit Card"
180 5.75 "Credit Card"
603 13.75 "Credit Card"
540 8.5 Cash
300 5.75 "Credit Card"
352 15.75 Cash
120 4.25 Cash
540 9.25 "Credit Card"
360 6.5 Cash
240 5 Cash
620 10.25 "Credit Card"
1464 26.25 Cash
420 7.25 Cash
300 6.25 Cash
360 6.75 Cash
540 10 "Credit Card"
1414 44.75 "Credit Card"
480 7.25 "Credit Card"
180 5 "Credit Card"
720 14.75 Cash
344 6.5 "Credit Card"
