"Job Titles" Department "Annual Salary"
"POLICE OFFICER" POLICE 87006
LIEUTENANT POLICE 123894
"CHIEF ASST CORPORATION COUNSEL" LAW 127068
"POLICE OFFICER" POLICE 93354
"DETENTION AIDE" POLICE 61464
FIREFIGHTER-EMT FIRE 84870
"POLICE OFFICER" POLICE 72510
"POLICE OFFICER" POLICE 68616
"POLICE OFFICER" POLICE 93354
"POLICE OFFICER" POLICE 48078
"LIBRARY ASSOCIATE" "PUBLIC LIBRARY" 69492
"POLICE OFFICER" POLICE 90024
"ADMINISTRATIVE ASST TO DEPUTY CORPORATION COUNSEL" LAW 70620
ALDERMAN "CITY COUNCIL" 117120
"POLICE OFFICER" POLICE 84054
"SUPVSR OF AUDITING" FINANCE 106116
FIREFIGHTER FIRE 93666
"POLICE OFFICER (ASSIGNED AS DETECTIVE)" POLICE 100980
FIREFIGHTER/PARAMEDIC FIRE 91272
FIREFIGHTER-EMT FIRE 89148
"POLICE OFFICER" POLICE 96060
"SPECIAL EVENTS COORD III" "CULTURAL AFFAIRS" 85008
"POLICE OFFICER" POLICE 84054
"CLINICAL THERAPIST III" POLICE 100776
"POLICE OFFICER" POLICE 87006
"DATA ENTRY OPERATOR" "WATER MGMNT" 53076
"DEPUTY CHIEF ADMINISTRATOR" COPA 126624
"POLICE OFFICER" POLICE 48078
"POLICE OFFICER (ASSIGNED AS DETECTIVE)" POLICE 100980
"POLICE OFFICER" POLICE 93354
FIREFIGHTER-EMT FIRE 89148
"FIELD SUPVSR I - PARKING ENFORCEMENT" FINANCE 67464
"ACCOUNTING TECHNICIAN II" "COMMUNITY DEVELOPMENT" 66948
"LEGISLATIVE AIDE" "CITY COUNCIL" 48648
"LEGAL SECRETARY" LAW 84420
"ASST COMMUNITY LIVING SPECIALIST" "FAMILY & SUPPORT" 45696
SERGEANT POLICE 104628
"PLUMBING INSPECTOR" BUILDINGS 102510
"VENTILATION AND FURNACE INSPECTOR" BUILDINGS 96657.6
"POLICE OFFICER" POLICE 96060
"POLICE OFFICER" POLICE 84054
"HEAD LIBRARY CLERK" "PUBLIC LIBRARY" 60972
"LIBRARIAN IV" "PUBLIC LIBRARY" 100776
"SUPVSR OF COMPENSATION" "BUSINESS AFFAIRS" 93300
LIEUTENANT POLICE 127692
"CIVIL ENGINEER IV" TRANSPORTN 110064
"PUBLIC HEALTH ADMINISTRATOR I" HEALTH 76932
"POLICE OFFICER (ASSIGNED AS DETECTIVE)" POLICE 97440
"POLICE OFFICER" POLICE 90024
"LIBRARY ASSOCIATE" "PUBLIC LIBRARY" 69492
"BUILDING/CONSTRUCTION INSPECTOR" BUILDINGS 116736
"POLICE OFFICER" POLICE 84054
SERGEANT POLICE 111474
"SUPERVISING DISEASE CONTROL INVESTIGATOR - EXCL" HEALTH 77484
"DEPUTY COMMISSIONER" "BUSINESS AFFAIRS" 122592
"LEGISLATIVE AIDE" "CITY COUNCIL" 19968
"ACCOUNTANT IV" FINANCE 100776
"CIVIL ENGINEER III" TRANSPORTN 100776
"PUBLIC HEALTH ADMINISTRATOR I" HEALTH 73440
"POLICE OFFICER" POLICE 48078
"POLICE OFFICER" POLICE 96060
"FIRE COMMUNICATIONS OPERATOR II" OEMC 95712
"POLICE OFFICER (ASSIGNED AS EVIDENCE TECHNICIAN)" POLICE 94524
"POLICE ADMINISTRATIVE CLERK" POLICE 40392
"ADMINISTRATIVE ASST III" "BUSINESS AFFAIRS" 73440
"FIRE ENGINEER-EMT" FIRE 103350
SERGEANT POLICE 111474
"ASST CHIEF AIRPORT OPERATIONS SUPVSR" AVIATION 122280
"POLICE OFFICER" POLICE 93354
"CHIEF ENGINEER OF SEWERS" "WATER MGMNT" 125316
"POLICE OFFICER" POLICE 87006
"POLICE OFFICER" POLICE 96060
"POLICE OFFICER (ASSIGNED AS DETECTIVE)" POLICE 103932
"FIREFIGHTER (PER ARBITRATORS AWARD)" FIRE 100980
"BRIDGE OPERATOR" TRANSPORTN 60972
SERGEANT POLICE 111474
"POLICE OFFICER" POLICE 87006
"POLICE OFFICER" POLICE 80016
FIREFIGHTER-EMT FIRE 92274
"AMBULANCE COMMANDER" FIRE 117816
"SENIOR CLERK-ELECTIONS" "BOARD OF ELECTION" 42456
"ANIMAL CARE AIDE I" "ANIMAL CONTRL" 70092
"COORD OF SPECIAL PROJECTS" HEALTH 93300
"SANITATION CLERK" "STREETS & SAN" 70056
LIEUTENANT POLICE 127692
"COMMUNICATIONS OPERATOR I - 311" OEMC 38376
"COORD OF SPECIAL PROJECTS" AVIATION 89076
"POLICE OFFICER" POLICE 84054
SERGEANT POLICE 104628
"POLICE OFFICER" POLICE 90024
"POLICE OFFICER" POLICE 87006
LIEUTENANT POLICE 123894
LIEUTENANT POLICE 120252
"STREET LIGHT REPAIR WORKER" TRANSPORTN 101712
"POLICE OFFICER" POLICE 90024
"POLICE OFFICER" POLICE 84054
FIREFIGHTER-EMT FIRE 95484
"POLICE OFFICER" POLICE 96060
"POLICE OFFICER" POLICE 87006
"POLICE OFFICER" POLICE 90024
"POLICE OFFICER" POLICE 84054
"POLICE OFFICER" POLICE 84054
"POLICE OFFICER (ASSIGNED AS DETECTIVE)" POLICE 103932
"POLICE OFFICER (ASSIGNED AS EVIDENCE TECHNICIAN)" POLICE 100980
SERGEANT POLICE 101442
"LOAD DISPATCHER" TRANSPORTN 101712
"POLICE OFFICER" POLICE 96060
PROGRAMMER/ANALYST "BUSINESS AFFAIRS" 92388
"LIBRARIAN I" "PUBLIC LIBRARY" 76548
"POLICE OFFICER" POLICE 93354
"POLICE OFFICER" POLICE 93354
LIEUTENANT POLICE 123894
LIEUTENANT-EMT FIRE 114324
"POLICE OFFICER" POLICE 87006
"POLICE OFFICER" POLICE 48078
"AVIATION SECURITY OFFICER" AVIATION 61464
"POLICE OFFICER" POLICE 68616
"POLICE OFFICER" POLICE 87006
"DEPUTY COMMISSIONER" AVIATION 122820
"CRIMINAL HISTORY ANALYST" POLICE 88344
"SENIOR RESEARCH ANALYST" "COMMUNITY DEVELOPMENT" 84516
"POLICE OFFICER" POLICE 72510
"POLICE OFFICER" POLICE 90024
"POLICE OFFICER" POLICE 93354
CAPTAIN-EMT FIRE 136794
"PERSONAL COMPUTER OPERATOR I" POLICE 53076
"PUBLIC HEALTH NURSE IV" HEALTH 107280
"POLICE OFFICER" POLICE 90024
"PROJECTS ADMINISTRATOR" FINANCE 92040
"POLICE OFFICER" POLICE 48078
"COORD OF BRIDGE OPERATIONS" TRANSPORTN 59976
"PRINCIPAL CLERK-ELECTIONS" "BOARD OF ELECTION" 67872
"POLICE OFFICER/EXPLSV DETECT K9 HNDLR" POLICE 100980
FIREFIGHTER-EMT FIRE 95484
"DETENTION AIDE" POLICE 61464
"POLICE OFFICER" POLICE 93354
"POLICE OFFICER" POLICE 90024
"DEPUTY CHIEF OF STAFF" "MAYOR'S OFFICE" 170004
"POLICE OFFICER" POLICE 96060
"POLICE OFFICER" POLICE 90024
"POLICE OFFICER" POLICE 87006
"POLICE OFFICER (ASSIGNED AS EVIDENCE TECHNICIAN)" POLICE 91338
"POLICE OFFICER" POLICE 93354
"POLICE OFFICER" POLICE 93354
"POLICE OFFICER" POLICE 93354
"ACCOUNTANT II" FINANCE 84516
"POLICE OFFICER (ASSIGNED AS DETECTIVE)" POLICE 100980
"MGR OF EMERGENCY MANAGEMENT SERVICES" OEMC 76716
"POLICE OFFICER" POLICE 90024
"POLICE OFFICER" POLICE 90024
"POLICE OFFICER" POLICE 87006
"PUBLIC HEALTH NURSE I" HEALTH 97320
"LOAN PROCESSING SPECIALIST" "COMMUNITY DEVELOPMENT" 88344
"POLICE OFFICER" POLICE 93354
"POLICE OFFICER" POLICE 48078
"PUBLIC HEALTH NUTRITIONIST III" HEALTH 70716
FIREFIGHTER-EMT FIRE 92274
"COORDINATING FIRE COMMUNICATIONS OPERATOR" OEMC 120432
FIREFIGHTER FIRE 90024
"POLICE OFFICER" POLICE 48078
"POLICE COMMUNICATIONS OPERATOR I" OEMC 73992
"FIRE ENGINEER-EMT" FIRE 107106
"DEPUTY COMMISSIONER" DISABILITIES 101664
"POLICE OFFICER" POLICE 87006
"REVENUE INVESTIGATOR I" "BUSINESS AFFAIRS" 50676
FIREFIGHTER-EMT FIRE 84870
"ACCOUNTING TECHNICIAN III" HEALTH 84420
FIREFIGHTER-EMT FIRE 84870
FIREFIGHTER-EMT FIRE 89148
"POLICE OFFICER" POLICE 87006
"POLICE OFFICER" POLICE 87006
"PUBLIC HEALTH NURSE II" HEALTH 97320
"POLICE OFFICER" POLICE 90024
"TRAFFIC SIGNAL REPAIRMAN" TRANSPORTN 101712
"POLICE OFFICER" POLICE 87006
"POLICE OFFICER" POLICE 90024
"STAFF ASST" "COMMUNITY DEVELOPMENT" 84420
"SANITATION CLERK" "STREETS & SAN" 63828
"POLICE OFFICER" POLICE 90024
"CLERK - BD OF ELECTIONS" "BOARD OF ELECTION" 29328
FIREFIGHTER-EMT FIRE 84870
FIREFIGHTER/PARAMEDIC FIRE 78738
"POLICE OFFICER" POLICE 93354
FIREFIGHTER-EMT FIRE 92274
"PROPERTY CUSTODIAN" POLICE 70092
"AIRPORT MANAGER - O'HARE" AVIATION 88440
"POLICE TECHNICIAN" POLICE 91338
"POLICE OFFICER" POLICE 68616
FIREFIGHTER-EMT FIRE 84870
"POLICE OFFICER" POLICE 72510
"DEPUTY CHIEF" POLICE 170112
"POLICE OFFICER" POLICE 87006
"POLICE OFFICER" POLICE 93354
"POLICE OFFICER" POLICE 84054
"FINANCIAL PLANNING ANALYST" "COMMUNITY DEVELOPMENT" 95292
"AMBULANCE COMMANDER" FIRE 125130
"POLICE OFFICER" POLICE 90024
"FIRE COMMUNICATIONS OPERATOR I" OEMC 68328
"POLICE OFFICER" POLICE 96060
"POLICE OFFICER" POLICE 87006
"POLICE OFFICER" POLICE 87006
"TRAFFIC ENFORCEMENT TECH" FINANCE 36204
LIEUTENANT POLICE 127692
"POLICE OFFICER" POLICE 87006
"POLICE OFFICER" POLICE 93354
"LEGISLATIVE AIDE" "CITY COUNCIL" 30168
"POLICE OFFICER" POLICE 93354
"POLICE OFFICER" POLICE 87006
"POLICE OFFICER" POLICE 90024
"POLICE OFFICER" POLICE 76266
"POLICE OFFICER (ASSIGNED AS DETECTIVE)" POLICE 103932
"POLICE OFFICER" POLICE 84054
"DETENTION AIDE" POLICE 67464
FIREFIGHTER-EMT FIRE 92274
"POLICE OFFICER" POLICE 87006
"FILTRATION ENGINEER IV" "WATER MGMNT" 110064
"ASST TO THE MAYOR" "MAYOR'S OFFICE" 150000
"POLICE OFFICER" POLICE 93354
LIEUTENANT POLICE 120252
"LIBRARY CLERK" "PUBLIC LIBRARY" 30588
"POLICE OFFICER" POLICE 87006
"MANAGER OF POLICE PAYROLLS" POLICE 102672
"POLICE OFFICER" POLICE 87006
"POLICE ADMINISTRATIVE CLERK" POLICE 38376
"PARKING INVESTIGATOR" FINANCE 73944
"COMMUNICATIONS OPERATOR I - 311" OEMC 38376
"SENIOR LIBRARY CLERK" "PUBLIC LIBRARY" 31872
"FIRE ENGINEER-EMT" FIRE 110214
"PUBLIC HEALTH ADMINISTRATOR III" HEALTH 97056
"POLICE OFFICER" POLICE 68616
"CLERK IV" POLICE 66948
"EXPLOSIVES TECHNICIAN I" POLICE 111252
"DISABILITY SPECIALIST II" DISABILITIES 84516
"FIRE ENGINEER-EMT" FIRE 107106
SERGEANT POLICE 107988
"POLICE ADMINISTRATIVE CLERK" POLICE 40392
"SENIOR HELP DESK TECHNICIAN" DoIT 84420
"POLICE OFFICER" POLICE 48078
FIREFIGHTER-EMT FIRE 95484
"POLICE OFFICER" POLICE 72510
"PARAMEDIC FIELD CHIEF" FIRE 133188
"POLICE OFFICER" POLICE 80016
"FIRE ENGINEER" FIRE 100980
"POLICE OFFICER" POLICE 96060
"POLICE OFFICER" POLICE 93354
"ENGINEERING TECHNICIAN VI" "WATER MGMNT" 106452
SERGEANT POLICE 101442
SERGEANT POLICE 111474
"POLICE OFFICER" POLICE 96060
"POLICE OFFICER (ASSIGNED AS DETECTIVE)" POLICE 103932
"POLICE OFFICER" POLICE 96060
"ACCOUNTANT IV" FINANCE 100776
"POLICE OFFICER" POLICE 87006
"ADMINISTRATIVE ASST II" AVIATION 60972
"POLICE OFFICER" POLICE 48078
"POLICE OFFICER" POLICE 68616
"PARAMEDIC I/C" FIRE 91080
"ADMINISTRATIVE SERVICES OFFICER I" FIRE 73440
FIREFIGHTER-EMT FIRE 95484
LIEUTENANT-PARAMEDIC FIRE 124728
"BRIDGE OPERATOR" TRANSPORTN 70056
"POLICE OFFICER" POLICE 90024
"POLICE OFFICER" POLICE 96060
"POLICE OFFICER" POLICE 87006
"FIREFIGHTER-EMT (RECRUIT)" FIRE 72510
"CIVIL ENGINEER III" "WATER MGMNT" 100776
"ACCOUNTANT III" FINANCE 68796
"ADMINISTRATIVE ASST II" BUILDINGS 70092
"POLICE OFFICER" POLICE 84054
"POLICE OFFICER" POLICE 48078
"ASST DEPUTY CHIEF PARAMEDIC" FIRE 156360
"ADMINISTRATIVE ASST III" "PUBLIC LIBRARY" 80568
"POLICE OFFICER" POLICE 68616
SERGEANT POLICE 111474
"POLICE OFFICER" POLICE 48078
LIEUTENANT-EMT FIRE 114324
"ASST TO THE ALDERMAN" "CITY COUNCIL" 80040
"POLICE COMMUNICATIONS OPERATOR II" OEMC 73992
"SENIOR CLERK-ELECTIONS" "BOARD OF ELECTION" 34008
"CRIMINAL INTELLIGENCE ANALYST" POLICE 76716
"POLICE OFFICER" POLICE 87006
"POLICE OFFICER" POLICE 84054
"POLICE OFFICER" POLICE 90024
"AUDITOR II" FINANCE 92388
"POLICE OFFICER" POLICE 93354
"ADMINISTRATIVE ASST III" OEMC 73440
"POLICE OFFICER" POLICE 76266
"POLICE OFFICER" POLICE 80016
"BUILDING/CONSTRUCTION INSPECTOR" HEALTH 76128
"PAYROLL ADMINISTRATOR" FINANCE 102348
LIEUTENANT FIRE 114846
"POLICE OFFICER" POLICE 80016
"POLICE OFFICER" POLICE 90024
"POLICE OFFICER" POLICE 90024
"POLICE OFFICER" POLICE 48078
"POLICE OFFICER" POLICE 48078
"POLICE OFFICER (ASSIGNED AS EVIDENCE TECHNICIAN)" POLICE 100980
"LIBRARIAN III" "PUBLIC LIBRARY" 60312
"COORD OF SPECIAL EVENTS LIAISON" FIRE 157776
"DIR OF LIBRARY - PROGRAMS AND EXHIBITS" "PUBLIC LIBRARY" 110364
"POLICE ADMINISTRATIVE CLERK" POLICE 40392
SERGEANT POLICE 111474
"COORDINATING PLANNER" TRANSPORTN 96720
"POLICE OFFICER" POLICE 87006
"POLICE OFFICER (ASSIGNED AS DETECTIVE)" POLICE 97440
"COORD OF SPECIAL PROJECTS" "BUSINESS AFFAIRS" 93300
"BUILDING/CONSTRUCTION INSPECTOR" BUILDINGS 116736
"FIREFIGHTER-EMT (RECRUIT)" FIRE 72510
"ADMINISTRATIVE ASST II" "FAMILY & SUPPORT" 70092
"POLICE OFFICER" POLICE 48078
"ADMINISTRATIVE ASST II" LAW 60972
"FIREFIGHTER (PER ARBITRATORS AWARD)" FIRE 103932
SERGEANT POLICE 101442
"SUPPORT SERVICES COORD" "FAMILY & SUPPORT" 53340
"POLICE OFFICER" POLICE 87006
"POLICE OFFICER" POLICE 84054
"POLICE OFFICER" POLICE 72510
"BATTALION CHIEF - EMT" FIRE 149502
"PROCESS SERVER" LAW 43644
"STAFF ASST" AVIATION 80568
"POLICE OFFICER" POLICE 90024
"PERSONNEL ASSISTANT" POLICE 70092
"PROGRAM AUDITOR II" "FAMILY & SUPPORT" 76932
SERGEANT POLICE 104628
"POLICE OFFICER" POLICE 90024
"POLICE OFFICER / FLD TRNG OFFICER" POLICE 91338
"POLICE OFFICER" POLICE 87006
"PARKING INVESTIGATOR" FINANCE 77484
SERGEANT POLICE 104628
"FINANCIAL OFFICER" "INSPECTOR GEN" 80376
"WEB AUTHOR" "CITY CLERK" 70620
"SENIOR LIBRARY CLERK" "PUBLIC LIBRARY" 34584
PARAMEDIC FIRE 97386
"POLICE OFFICER" POLICE 48078
"ENGINEERING TECHNICIAN IV" TRANSPORTN 63228
"POLICE OFFICER (ASSIGNED AS DETECTIVE)" POLICE 100980
"POLICE OFFICER" POLICE 84054
"POLICE OFFICER" POLICE 48078
SERGEANT POLICE 104628
FIREFIGHTER/PARAMEDIC FIRE 78738
"POLICE OFFICER" POLICE 48078
"ASST TO THE ALDERMAN" "CITY COUNCIL" 66000
FIREFIGHTER/PARAMEDIC FIRE 94476
LIEUTENANT-EMT FIRE 117996
"ASST TO THE COMMISSIONER" FIRE 85008
"POLICE OFFICER" POLICE 84054
"STAFF ASST" "COMMUNITY DEVELOPMENT" 84420
"STAFF ASST" FINANCE 84420
SERGEANT POLICE 111474
"POLICE OFFICER" POLICE 84054
SERGEANT POLICE 104628
SERGEANT POLICE 111474
"POLICE OFFICER" POLICE 68616
"PARAMEDIC FIELD CHIEF" FIRE 140970
"LIBRARY CLERK" "PUBLIC LIBRARY" 46152
FIREFIGHTER-EMT FIRE 84870
"BUILDING/CONSTRUCTION INSPECTOR" BUILDINGS 92556
"POLICE OFFICER" POLICE 48078
"POLICE OFFICER" POLICE 48078
"ASST TO THE COMMISSIONER" PROCUREMENT 61992
"POLICE OFFICER" POLICE 72510
"POLICE OFFICER" POLICE 48078
"POLICE OFFICER" POLICE 93354
"PUBLIC HEALTH ADMINISTRATOR II" HEALTH 84420
"DIR OF FACILITIES MANAGEMENT" POLICE 111192
PARAMEDIC FIRE 76266
"POLICE OFFICER (ASSIGNED AS DETECTIVE)" POLICE 91080
"PERSONAL COMPUTER OPERATOR II" "WATER MGMNT" 63876
"LIBRARIAN I" "PUBLIC LIBRARY" 53940
"POLICE OFFICER (ASSIGNED AS DETECTIVE)" POLICE 97440
"POLICE OFFICER (ASSIGNED AS DETECTIVE)" POLICE 103932
"PUBLIC HEALTH ADMINISTRATOR III" HEALTH 70512
FIREFIGHTER-EMT FIRE 89148
"POLICE OFFICER (ASSIGNED AS DETECTIVE)" POLICE 103932
"DIR OF INFORMATION SYSTEMS" DoIT 118932
"DIRECTOR OF FINANCE" OEMC 96720
"FIREFIGHTER (PER ARBITRATORS AWARD)-PARAMEDIC" FIRE 112854
FIREFIGHTER-EMT FIRE 89148
"DEPUTY MANAGING EDITOR COUNCIL JOURNAL" "CITY CLERK" 107220
"POLICE OFFICER" POLICE 90024
"POLICE OFFICER" POLICE 87006
"POLICE OFFICER" POLICE 68616
"FIREFIGHTER (PER ARBITRATORS AWARD)-PARAMEDIC" FIRE 105804
"POLICE OFFICER" POLICE 96060
"POLICE OFFICER" POLICE 90024
"POLICE OFFICER" POLICE 93354
"BUILDING/CONSTRUCTION INSPECTOR" BUILDINGS 92556
"PARKING INVESTIGATOR" FINANCE 68556
"POLICE OFFICER" POLICE 90024
"CLERK III" HEALTH 58248
"PROJECTS ADMINISTRATOR" TRANSPORTN 99036
"FILTRATION ENGINEER IV" "WATER MGMNT" 110064
"ASST CORPORATION COUNSEL SUPVSR" LAW 104844
"ELECTION EQUIPMENT & SUPPLY SPEC III" "BOARD OF ELECTION" 50472
"POLICE OFFICER" POLICE 80016
"PUBLIC HEALTH ADMINISTRATOR III" HEALTH 62820
"FIRE COMMUNICATIONS OPERATOR II" OEMC 95712
"WATER CHEMIST II" "WATER MGMNT" 84516
"POLICE OFFICER (ASGND AS MOUNTED PATROL OFFICER)" POLICE 98052
"POLICE OFFICER" POLICE 87006
SERGEANT POLICE 111474
FIREFIGHTER-EMT FIRE 99324
"LIBRARY DIVISION CHIEF" "PUBLIC LIBRARY" 107184
"FIRE ENGINEER-EMT" FIRE 103350
"FIRE ENGINEER" FIRE 100980
"DISTRICT SUPERINTENDENT OF WATER DISTRIBUTION" "WATER MGMNT" 111456
"POLICE OFFICER (ASSIGNED AS DETECTIVE)" POLICE 100980
"HEAD LIBRARY CLERK" "PUBLIC LIBRARY" 70092
"POLICE OFFICER" POLICE 90024
"POLICE OFFICER" POLICE 90024
"FIREFIGHTER-EMT (RECRUIT)" FIRE 72510
"MANAGER OF FLEET SERVICES" "GENERAL SERVICES" 96720
"ACCOUNTANT III" "FAMILY & SUPPORT" 92388
"PROJECTS ADMINISTRATOR" BUILDINGS 94824
"POLICE OFFICER" POLICE 87006
"POLICE OFFICER" POLICE 93354
FIREFIGHTER/PARAMEDIC FIRE 78738
"POLICE OFFICER" POLICE 87006
"SR PROCUREMENT SPECIALIST" PROCUREMENT 93300
"COORDINATING ENGINEER I" TRANSPORTN 105816
"LIBRARIAN I" "PUBLIC LIBRARY" 76548
FIREFIGHTER FIRE 87006
"STREET LIGHT REPAIR WORKER" TRANSPORTN 101712
"POLICE OFFICER" POLICE 84054
FIREFIGHTER/PARAMEDIC FIRE 91272
"POLICE OFFICER (ASSIGNED AS DETECTIVE)" POLICE 103932
"POLICE OFFICER" POLICE 84054
"POLICE OFFICER" POLICE 96060
FIREFIGHTER-EMT FIRE 92274
"POLICE OFFICER (ASSIGNED AS DETECTIVE)" POLICE 100980
FIREFIGHTER FIRE 90024
"POLICE OFFICER" POLICE 48078
CAPTAIN POLICE 136170
"ADMINISTRATIVE ASST II" HEALTH 70092
"POLICE OFFICER" POLICE 93354
"FIREFIGHTER-EMT (RECRUIT)" FIRE 72510
"ADMIN ASST II - LABORERS" TRANSPORTN 60960
"STAFF ASST TO THE ALDERMAN" "CITY COUNCIL" 55932
SERGEANT POLICE 104628
"POLICE OFFICER" POLICE 90024
"POLICE OFFICER" POLICE 48078
"POLICE OFFICER" POLICE 96060
FIREFIGHTER FIRE 87006
SERGEANT POLICE 104628
"POLICE AGENT" POLICE 98052
"LIBRARIAN III" "PUBLIC LIBRARY" 92388
SERGEANT POLICE 104628
LIEUTENANT POLICE 127692
"POLICE OFFICER" POLICE 93354
"AMBULANCE COMMANDER" FIRE 128970
"POLICE OFFICER" POLICE 93354
"POLICE OFFICER" POLICE 96060
LIEUTENANT-EMT FIRE 117996
"POLICE OFFICER (ASSIGNED AS DETECTIVE)" POLICE 97440
FIREFIGHTER-EMT FIRE 95484
"POLICE OFFICER" POLICE 90024
"FIREFIGHTER-EMT (RECRUIT)" FIRE 72510
"POLICE OFFICER" POLICE 96060
"GEN SUPT OF WATER MANAGEMENT" "WATER MGMNT" 116844
"FIRE ENGINEER" FIRE 103932
"PROJECT COORD" "FAMILY & SUPPORT" 59976
"LIBRARY ASSOCIATE" "PUBLIC LIBRARY" 69492
"POLICE OFFICER" POLICE 93354
SERGEANT POLICE 111474
PARAMEDIC FIRE 76266
"POLICE OFFICER" POLICE 96060
"SUPERVISING INVESTIGATOR" "CITY CLERK" 65820
"NURSE PRACTITIONER" HEALTH 130596
"POLICE OFFICER" POLICE 84054
"FIRST DEPUTY COMMISSIONER" "STREETS & SAN" 129096
"CHIEF WATER CHEMIST" "WATER MGMNT" 108972
"LOAD DISPATCHER" TRANSPORTN 101712
"POLICE OFFICER" POLICE 93354
"POLICE OFFICER" POLICE 87006
"PROJECT MANAGER" "GENERAL SERVICES" 112284
"POLICE OFFICER" POLICE 87006
"POLICE OFFICER" POLICE 90024
"POLICE OFFICER (ASSIGNED AS EVIDENCE TECHNICIAN)" POLICE 94524
LIEUTENANT-EMT FIRE 114324
FIREFIGHTER FIRE 90024
"FIREFIGHTER-EMT (RECRUIT)" FIRE 72510
